rep,bench,arm,ns_per_op,err,probe_off,probe_on
1,WalletCreateTxUseOnlyPresetInputs,pass_hoist,684876.62,0.2,0.2188,0.8708
1,WalletCreateTxUsePresetInputsAndCoinSelection,pass_hoist,16337111.33,1.2,0.2188,0.8708
1,CoinSelection,pass_gated,3137712.50,0.4,0.2188,0.8708
1,ComplexMemPool,pass_gated,34397292.00,1.4,0.2188,0.8708
1,ConnectBlockAllEcdsa,pass_gated,26948729.00,0.2,0.2188,0.8708
1,SignTransactionECDSA,pass_gated,56865.70,0.1,0.2188,0.8708
1,SignTransactionSchnorr,pass_gated,44111.71,0.1,0.2188,0.8708
1,TxGraphTrim,pass_gated,8827792.00,0.0,0.2188,0.8708
1,WalletAvailableCoins,pass_gated,25326895.50,0.1,0.2188,0.8708
1,WalletCreateTxUseOnlyPresetInputs,pass_gated,597666.18,0.1,0.2188,0.8708
1,WalletCreateTxUsePresetInputsAndCoinSelection,pass_gated,15843333.33,1.4,0.2188,0.8708
1,CoinSelection,baseline2,3134637.50,0.2,0.2188,0.8708
1,ComplexMemPool,baseline2,34610458.00,1.2,0.2188,0.8708
1,ConnectBlockAllEcdsa,baseline2,26763250.00,0.3,0.2188,0.8708
1,SignTransactionECDSA,baseline2,57405.38,0.1,0.2188,0.8708
1,SignTransactionSchnorr,baseline2,42307.04,0.1,0.2188,0.8708
1,TxGraphTrim,baseline2,9355208.00,0.0,0.2188,0.8708
1,WalletAvailableCoins,baseline2,25655437.50,0.1,0.2188,0.8708
1,WalletCreateTxUseOnlyPresetInputs,baseline2,516781.86,0.1,0.2188,0.8708
1,WalletCreateTxUsePresetInputsAndCoinSelection,baseline2,15696486.33,1.0,0.2188,0.8708
1,CoinSelection,baseline,3183925.00,0.3,0.2188,0.8708
1,ComplexMemPool,baseline,35151500.00,2.7,0.2188,0.8708
1,ConnectBlockAllEcdsa,baseline,26834583.00,0.4,0.2188,0.8708
1,SignTransactionECDSA,baseline,57819.82,0.1,0.2188,0.8708
1,SignTransactionSchnorr,baseline,42488.31,0.3,0.2188,0.8708
1,TxGraphTrim,baseline,9400042.00,0.0,0.2188,0.8708
1,WalletAvailableCoins,baseline,26282604.50,0.0,0.2188,0.8708
1,WalletCreateTxUseOnlyPresetInputs,baseline,540780.56,0.1,0.2188,0.8708
1,WalletCreateTxUsePresetInputsAndCoinSelection,baseline,15543694.67,0.3,0.2188,0.8708
1,CoinSelection,null,3185275.00,0.4,0.2188,0.8708
1,ComplexMemPool,null,35321500.00,1.3,0.2188,0.8708
1,ConnectBlockAllEcdsa,null,26915729.00,0.7,0.2188,0.8708
1,SignTransactionECDSA,null,57561.67,0.1,0.2188,0.8708
1,SignTransactionSchnorr,null,42265.46,0.1,0.2188,0.8708
1,TxGraphTrim,null,9056542.00,0.0,0.2188,0.8708
1,WalletAvailableCoins,null,25862875.00,0.1,0.2188,0.8708
1,WalletCreateTxUseOnlyPresetInputs,null,528850.46,0.1,0.2188,0.8708
1,WalletCreateTxUsePresetInputsAndCoinSelection,null,15593180.67,0.7,0.2188,0.8708
2,CoinSelection,pass_hoist,3128670.90,0.2,0.2228,0.8703
2,ComplexMemPool,pass_hoist,34819625.00,1.4,0.2228,0.8703
2,ConnectBlockAllEcdsa,pass_hoist,40473458.00,0.2,0.2228,0.8703
2,SignTransactionECDSA,pass_hoist,80599.53,0.3,0.2228,0.8703
2,SignTransactionSchnorr,pass_hoist,61879.58,0.2,0.2228,0.8703
2,TxGraphTrim,pass_hoist,9304041.00,0.0,0.2228,0.8703
2,WalletAvailableCoins,pass_hoist,34163416.00,0.4,0.2228,0.8703
2,WalletCreateTxUseOnlyPresetInputs,pass_hoist,750589.69,0.2,0.2228,0.8703
2,WalletCreateTxUsePresetInputsAndCoinSelection,pass_hoist,15925902.67,0.9,0.2228,0.8703
2,CoinSelection,pass_gated,3211204.20,0.6,0.2228,0.8703
2,ComplexMemPool,pass_gated,34212833.00,0.7,0.2228,0.8703
2,ConnectBlockAllEcdsa,pass_gated,26961416.50,0.5,0.2228,0.8703
2,SignTransactionECDSA,pass_gated,62379.31,0.1,0.2228,0.8703
2,SignTransactionSchnorr,pass_gated,44318.26,0.1,0.2228,0.8703
2,TxGraphTrim,pass_gated,9492166.00,0.0,0.2228,0.8703
2,WalletAvailableCoins,pass_gated,26052979.00,0.2,0.2228,0.8703
2,WalletCreateTxUseOnlyPresetInputs,pass_gated,548753.93,0.3,0.2228,0.8703
2,WalletCreateTxUsePresetInputsAndCoinSelection,pass_gated,15662361.00,0.5,0.2228,0.8703
2,CoinSelection,baseline2,3122437.50,0.3,0.2228,0.8703
2,ComplexMemPool,baseline2,34565000.00,0.6,0.2228,0.8703
2,ConnectBlockAllEcdsa,baseline2,26740416.50,0.2,0.2228,0.8703
2,SignTransactionECDSA,baseline2,57957.46,0.1,0.2228,0.8703
2,SignTransactionSchnorr,baseline2,42264.72,0.1,0.2228,0.8703
2,TxGraphTrim,baseline2,9809125.00,0.0,0.2228,0.8703
2,WalletAvailableCoins,baseline2,25583645.50,0.1,0.2228,0.8703
2,WalletCreateTxUseOnlyPresetInputs,baseline2,552648.81,0.1,0.2228,0.8703
2,WalletCreateTxUsePresetInputsAndCoinSelection,baseline2,15759236.33,0.6,0.2228,0.8703
2,CoinSelection,baseline,3184833.40,0.2,0.2228,0.8703
2,ComplexMemPool,baseline,34648333.00,1.7,0.2228,0.8703
2,ConnectBlockAllEcdsa,baseline,26734791.50,0.2,0.2228,0.8703
2,SignTransactionECDSA,baseline,54828.09,0.1,0.2228,0.8703
