rep,host,arm,total_s,secret_s,toggles,checksum
5,cpython,pass_function,3.856291,0.000674,0,WORK cpython checksum 996236
5,cpython,baseline2,3.831963,0.000631,0,WORK cpython checksum 996236
5,sqlite,baseline,2.925346,0.001738,0,WORK sqlite checksum 43910948
5,sqlite,always,3.038308,0.001828,1,WORK sqlite checksum 43910948
5,sqlite,oracle,2.932758,0.001832,288,WORK sqlite checksum 43910948
5,sqlite,pass_region,2.947140,0.001923,0,WORK sqlite checksum 43910948
5,sqlite,pass_hoist,2.926288,0.001897,0,WORK sqlite checksum 43910948
5,sqlite,pass_function,2.925650,0.001888,0,WORK sqlite checksum 43910948
5,sqlite,baseline2,2.920879,0.001732,0,WORK sqlite checksum 43910948
6,cpython,always,4.186431,0.000653,1,WORK cpython checksum 996236
6,cpython,oracle,3.794859,0.000635,96,WORK cpython checksum 996236
6,cpython,pass_region,3.867782,0.000668,0,WORK cpython checksum 996236
6,cpython,pass_hoist,3.819532,0.000669,0,WORK cpython checksum 996236
6,cpython,pass_function,3.834843,0.000665,0,WORK cpython checksum 996236
6,cpython,baseline2,3.790055,0.000612,0,WORK cpython checksum 996236
6,cpython,baseline,3.805790,0.000605,0,WORK cpython checksum 996236
6,sqlite,always,3.182112,0.001825,1,WORK sqlite checksum 43910948
6,sqlite,oracle,2.927714,0.001836,288,WORK sqlite checksum 43910948
6,sqlite,pass_region,2.956748,0.001903,0,WORK sqlite checksum 43910948
6,sqlite,pass_hoist,2.915844,0.001912,0,WORK sqlite checksum 43910948
6,sqlite,pass_function,2.932730,0.001894,0,WORK sqlite checksum 43910948
6,sqlite,baseline2,2.908816,0.001730,0,WORK sqlite checksum 43910948
6,sqlite,baseline,2.914187,0.001728,0,WORK sqlite checksum 43910948
7,cpython,oracle,3.802716,0.000652,96,WORK cpython checksum 996236
7,cpython,pass_region,3.835010,0.000670,0,WORK cpython checksum 996236
7,cpython,pass_hoist,3.805457,0.000673,0,WORK cpython checksum 996236
7,cpython,pass_function,3.849794,0.000666,0,WORK cpython checksum 996236
7,cpython,baseline2,3.825386,0.000615,0,WORK cpython checksum 996236
7,cpython,baseline,3.807339,0.000605,0,WORK cpython checksum 996236
7,cpython,always,4.187985,0.000644,1,WORK cpython checksum 996236
7,sqlite,oracle,2.922972,0.001840,288,WORK sqlite checksum 43910948
7,sqlite,pass_region,2.915169,0.001908,0,WORK sqlite checksum 43910948
7,sqlite,pass_hoist,2.936613,0.001906,0,WORK sqlite checksum 43910948
7,sqlite,pass_function,2.931557,0.001896,0,WORK sqlite checksum 43910948
7,sqlite,baseline2,2.935900,0.001733,0,WORK sqlite checksum 43910948
7,sqlite,baseline,2.944273,0.001717,0,WORK sqlite checksum 43910948
7,sqlite,always,3.009831,0.001818,1,WORK sqlite checksum 43910948
