rep,host,arm,seconds,rc,stdout_tail,probe_const,probe_perm,probe_dit
3,quickjs,base,13.303235,0,__total 3575,,,
3,quickjs,null,13.325401,0,__total 3560,,,
3,quickjs,dit,13.475444,0,__total 3265,,,
4,probe,base,0.023935,0,PROBE dit=0 const_ns_per_hop=0.2263 perm_ns_per_hop=0.8727 const_over_perm=0.2593 ck=665,0.2263,0.8727,0
4,probe,null,0.025867,0,PROBE dit=0 const_ns_per_hop=0.2314 perm_ns_per_hop=0.8776 const_over_perm=0.2637 ck=665,0.2314,0.8776,0
4,probe,dit,0.037902,0,PROBE dit=1 const_ns_per_hop=0.8741 perm_ns_per_hop=0.8706 const_over_perm=1.0040 ck=665,0.8741,0.8706,1
4,sqlite,base,4.004499,0,       TOTAL.......................................................    3.997s,,,
4,sqlite,null,4.025641,0,       TOTAL.......................................................    4.016s,,,
4,sqlite,dit,4.264909,0,       TOTAL.......................................................    4.254s,,,
4,lua,base,1.905301,0,LUABENCH binary_trees checksum 29447519,,,
4,lua,null,1.846654,0,LUABENCH binary_trees checksum 29447519,,,
4,lua,dit,2.123309,0,LUABENCH binary_trees checksum 29447519,,,
4,cpython,base,10.781520,0,PYBENCH nbody 2.615667 float,,,
4,cpython,null,10.381640,0,PYBENCH nbody 2.558561 float,,,
4,cpython,dit,11.065021,0,PYBENCH nbody 2.628511 float,,,
4,git,base,2.360802,0,579877,,,
4,git,null,2.357845,0,579877,,,
4,git,dit,2.408351,0,579877,,,
4,quickjs,base,13.300487,0,__total 3577,,,
4,quickjs,null,13.326743,0,__total 3513,,,
4,quickjs,dit,13.472738,0,__total 3285,,,
5,probe,base,0.024168,0,PROBE dit=0 const_ns_per_hop=0.2304 perm_ns_per_hop=0.8818 const_over_perm=0.2613 ck=665,0.2304,0.8818,0
5,probe,null,0.025657,0,PROBE dit=0 const_ns_per_hop=0.2289 perm_ns_per_hop=0.8720 const_over_perm=0.2625 ck=665,0.2289,0.8720,0
5,probe,dit,0.037787,0,PROBE dit=1 const_ns_per_hop=0.8705 perm_ns_per_hop=0.8708 const_over_perm=0.9997 ck=665,0.8705,0.8708,1
5,sqlite,base,3.995302,0,       TOTAL.......................................................    3.987s,,,
5,sqlite,null,4.007574,0,       TOTAL.......................................................    3.996s,,,
5,sqlite,dit,4.250846,0,       TOTAL.......................................................    4.240s,,,
5,lua,base,1.883553,0,LUABENCH binary_trees checksum 29447519,,,
5,lua,null,1.943613,0,LUABENCH binary_trees checksum 29447519,,,
5,lua,dit,2.819102,0,LUABENCH binary_trees checksum 29447519,,,
5,cpython,base,10.459034,0,PYBENCH nbody 2.579813 float,,,
5,cpython,null,10.322472,0,PYBENCH nbody 2.536427 float,,,
5,cpython,dit,11.020942,0,PYBENCH nbody 2.600046 float,,,
5,git,base,2.346274,0,579877,,,
5,git,null,2.346765,0,579877,,,
5,git,dit,2.398069,0,579877,,,
5,quickjs,base,13.299705,0,__total 3593,,,
5,quickjs,null,13.372281,0,__total 3535,,,
5,quickjs,dit,13.489532,0,__total 3258,,,
6,probe,base,0.023921,0,PROBE dit=0 const_ns_per_hop=0.2239 perm_ns_per_hop=0.8707 const_over_perm=0.2571 ck=665,0.2239,0.8707,0
