rep,host,bench,arm,seconds
11,cpython,nbody,dit,2.603708
11,lua,binary_trees,null,1.903050
11,lua,binary_trees,dit,2.222986
11,lua,fannkuch,null,0.666978
11,lua,fannkuch,dit,0.686578
11,lua,spectralnorm,null,1.341942
11,lua,spectralnorm,dit,1.697623
12,cpython,richards,null,2.646404
12,cpython,go,null,2.503011
12,cpython,float,null,2.760162
12,cpython,nbody,null,2.621682
12,cpython,richards,dit,2.939643
12,cpython,go,dit,2.667548
12,cpython,float,dit,2.831420
12,cpython,nbody,dit,2.624182
12,lua,binary_trees,null,1.884997
12,lua,binary_trees,dit,2.160925
12,lua,fannkuch,null,0.661118
12,lua,fannkuch,dit,0.678126
12,lua,spectralnorm,null,1.359354
12,lua,spectralnorm,dit,1.695395
13,cpython,richards,null,2.623560
13,cpython,go,null,2.492964
13,cpython,float,null,2.660820
13,cpython,nbody,null,2.511306
13,cpython,richards,dit,2.902211
13,cpython,go,dit,2.660752
13,cpython,float,dit,2.852554
13,cpython,nbody,dit,2.621229
13,lua,binary_trees,null,1.897454
13,lua,binary_trees,dit,2.158675
13,lua,fannkuch,null,0.668715
13,lua,fannkuch,dit,0.677024
13,lua,spectralnorm,null,1.346062
13,lua,spectralnorm,dit,1.702201
