# Mechanism: gem5, public lane alone (--nosecret).
L,pred_q4,arm,insts,cycles,ipc,vp_predictions,vp_preds_per_1k_insts
10,0,nodit,270420,140707,1.922,42210,156.09
10,0,blanket,270420,141409,1.912,11947,44.18
50,0,nodit,913520,735695,1.242,43383,47.49
50,0,blanket,913520,736029,1.241,11503,12.59
200,0,nodit,2868950,3497989,0.820,182124,63.48
200,0,blanket,2868950,3495046,0.821,9383,3.27
1000,0,nodit,7409550,9883328,0.750,633864,85.55
1000,0,blanket,7409550,9883600,0.750,5141,0.69
5000,0,nodit,11011820,14951825,0.736,1001609,90.96
5000,0,blanket,11011820,14951411,0.737,1368,0.12
20000,0,nodit,12103265,16486719,0.734,1100062,90.89
20000,0,blanket,12103265,16486645,0.734,311,0.03
