K,f_secret_pct,base_cycles,C_public_pct,C_whole_pct,pass_vs_base_spec_pct,pass_vs_blanket_spec_pct,pass_vs_blanket_spec_min,pass_vs_blanket_spec_max,pass_vs_base_serdit_pct,pass_vs_blanket_serdit_pct,pass_vs_blanket_serdit_min,pass_vs_blanket_serdit_max,switch_cost_pct,spread_max_pct
0,0.0,29990792.0,6.707645466648571,6.707645466648571,0.16105610015233474,-6.135070582681312,-6.399962658716863,-5.776723757488833,0.036257795392669045,-6.252024062644168,-6.565562381001366,-5.941605201359746,-0.12459763267160806,0.7595857316443633
1,1.4234680102785058,30423866.0,6.707645466648571,6.088568757172408,-0.39735581270309295,-6.113688445285026,-6.475099247686633,-5.989274490629414,-0.5366543489246256,-6.244992447076559,-6.4635464593461815,-6.187817192362388,-0.13985425523401762,0.8249538034791337
4,3.5105841171483743,31081950.0,6.707645466648571,6.476179905057444,-0.12268535275296033,-6.197503764404832,-6.243766664785055,-6.023152000945431,0.08935089336414848,-5.998364157493519,-6.242585878181406,-5.739825621932438,0.21229670307616466,0.6031360092630722
10,10.122450207683887,33368502.0,6.707645466648571,5.869220620092563,-0.14921856546032952,-5.684786522751328,-5.964787869031407,-5.497436846306069,-0.06357792147816399,-5.603893659385983,-5.8237794673209,-5.490927692319925,0.08576862669653629,0.4887146500667683
25,22.283896503230483,38590190.0,6.707645466648571,4.984803132609605,-0.4292619445511958,-5.156998837557591,-5.2356968647538915,-5.108531361409884,-0.11760760960233263,-4.860142220552555,-4.952133744374243,-4.790746173498506,0.3129979158890128,0.3284723513465426
50,36.84770205301036,47489629.0,6.707645466648571,3.942342863954562,-0.5971535385125848,-4.367321610605501,-4.460844284138044,-4.316790917659685,-0.15462533935567402,-3.941577696273957,-3.975185009101634,-3.823164957035574,0.4451866469723065,0.2876618691975974
100,54.033256788491,65244544.0,6.707645466648571,2.7149549853547894,-0.8585698752067272,-3.4790696847124547,-3.6701114005625923,-3.4405972524732875,-0.1882379620892105,-2.8264559409658885,-2.9548826468312472,-2.7308771362690276,0.6761370219027008,0.21744352991435179
200,70.39500197910947,101303138.0,6.707645466648571,1.3984167005764325,-1.1881862929063458,-2.5509303573455933,-2.8254724226526307,-2.276327911600984,-0.3137879104988861,-1.6885910715266572,-1.7728270401830448,-1.4382104508903537,0.8849127949411173,0.5132008018757572
400,82.9783967789507,176192522.0,6.707645466648571,0.41304306887666176,-1.5659796276711435,-1.970882104618954,-2.0296648263007144,-1.670795121509261,-0.3754438568056795,-0.7852435317008633,-0.8652057068398555,-0.477942169385015,1.2094759173324698,0.4390379436124636
