row,family,size,cycles_A,instrs_A,ditwrites_A,cycles_C,instrs_C,ditwrites_C,cycles_B,instrs_B,ditwrites_B,cycles_H,instrs_H,ditwrites_H,cycles_Be,instrs_Be,ditwrites_Be,cycles_He,instrs_He,ditwrites_He
AEAD-AES-256-GCM open [16384 B],AEAD-AES-256-GCM open,16384,15354.2857,54673.1429,,15349.0000,54673.1429,0.0000,15462.0000,54726.1429,3.0000,15446.0000,54720.1429,2.0000,15400.7143,54726.1429,3.0000,15395.0000,54720.1429,2.0000
AEAD-AES-256-GCM open [256 B],AEAD-AES-256-GCM open,256,639.9414,1500.0312,,651.1719,1500.0312,0.0000,850.2188,1553.0312,3.0000,820.0430,1547.0312,2.0000,774.0898,1553.0312,3.0000,764.0508,1547.0312,2.0000
AEAD-AES-256-GCM open [8192 B],AEAD-AES-256-GCM open,8192,7886.2667,27664.5333,,7882.0000,27664.5333,0.0000,8079.7333,27717.5333,3.0000,8046.7333,27711.5333,2.0000,8000.6667,27717.5333,3.0000,7997.0000,27711.5333,2.0000
AEAD-AES-256-GCM open init,AEAD-AES-256-GCM open init,,502.2126,698.0187,,502.1706,698.0187,0.0000,631.1075,719.0187,2.0000,580.0444,714.0187,1.0000,516.2290,719.0187,2.0000,515.1565,714.0187,1.0000
AEAD-AES-256-GCM seal [1350 B],AEAD-AES-256-GCM seal,1350,1786.3836,5213.1096,,1786.4384,5213.1096,0.0000,1993.7945,5232.1096,2.0000,1942.0274,5228.1096,1.0000,1922.4521,5232.1096,2.0000,1946.7945,5228.1096,1.0000
AEAD-AES-256-GCM seal [16 B],AEAD-AES-256-GCM seal,16,459.1624,789.0188,,461.7788,789.0188,0.0000,621.1365,808.0188,2.0000,596.1106,804.0188,1.0000,572.1788,808.0188,2.0000,573.0588,804.0188,1.0000
AEAD-AES-256-GCM seal [16384 B],AEAD-AES-256-GCM seal,16384,15390.2857,54630.1429,,15332.7143,54630.1429,0.0000,15597.7143,54649.1429,2.0000,15548.0000,54645.1429,1.0000,15550.0000,54649.1429,2.0000,15559.1429,54645.1429,1.0000
AEAD-AES-256-GCM seal [256 B],AEAD-AES-256-GCM seal,256,639.3874,1457.0316,,643.1265,1457.0316,0.0000,817.9565,1476.0316,2.0000,790.9526,1472.0316,1.0000,770.0158,1476.0316,2.0000,766.9526,1472.0316,1.0000
AEAD-AES-256-GCM seal [8192 B],AEAD-AES-256-GCM seal,8192,7902.2857,27621.5714,,7870.5000,27621.5714,0.0000,8095.9286,27640.5714,2.0000,8045.0714,27636.5714,1.0000,8048.0714,27640.5714,2.0000,8045.2143,27636.5714,1.0000
AEAD-AES-256-GCM seal init,AEAD-AES-256-GCM seal init,,502.2821,698.0186,,502.2448,698.0186,0.0000,631.4615,719.0186,2.0000,579.5198,714.0186,1.0000,516.2657,719.0186,2.0000,515.2284,714.0186,1.0000
