row,family,size,cycles_A,instrs_A,ditwrites_A,cycles_C,instrs_C,ditwrites_C,cycles_B,instrs_B,ditwrites_B,cycles_H,instrs_H,ditwrites_H,cycles_Be,instrs_Be,ditwrites_Be,cycles_He,instrs_He,ditwrites_He
Curve25519 base-point multiplication,Curve25519 base-point multiplication,,39347.3333,105385.6667,,41669.0000,105385.6667,0.0000,41793.0000,105406.6667,2.0000,41794.3333,105401.6667,1.0000,41762.0000,105406.6667,2.0000,41799.3333,105401.6667,1.0000
EC POINT P-224 add,EC POINT P-224 add,,926.2683,2430.0976,,932.6829,2430.0976,0.0000,926.8537,2430.0976,0.0000,944.8049,2430.0976,0.0000,914.8659,2430.0976,0.0000,944.8049,2430.0976,0.0000
EC POINT P-224 dbl,EC POINT P-224 dbl,,393.0942,1162.0419,,416.8429,1162.0419,0.0000,401.0105,1162.0419,0.0000,418.7749,1162.0419,0.0000,398.1937,1162.0419,0.0000,418.7749,1162.0419,0.0000
EC POINT P-224 mul,EC POINT P-224 mul,,126943.0000,361815.0000,,127803.0000,361815.0000,0.0000,127626.0000,361866.0000,3.0000,127770.0000,361861.0000,2.0000,127888.0000,361866.0000,3.0000,127699.0000,361861.0000,2.0000
EC POINT P-224 mul base,EC POINT P-224 mul base,,45899.0000,134997.0000,,47081.0000,134997.0000,0.0000,48394.0000,135042.0000,3.0000,47979.0000,135037.0000,2.0000,48399.0000,135042.0000,3.0000,48108.0000,135037.0000,2.0000
EC POINT P-224 mul public,EC POINT P-224 mul public,,178077.0000,499083.0000,,174705.0000,499083.0000,0.0000,176483.0000,499144.0000,4.0000,176216.0000,499139.0000,3.0000,177062.0000,499144.0000,4.0000,176031.0000,499139.0000,3.0000
EC POINT P-256 add,EC POINT P-256 add,,826.9205,2225.0909,,806.2727,2225.0909,0.0000,806.9091,2225.0909,0.0000,807.4773,2225.0909,0.0000,845.2273,2225.0909,0.0000,807.4773,2225.0909,0.0000
EC POINT P-256 dbl,EC POINT P-256 dbl,,475.2222,1238.0444,,487.3333,1238.0444,0.0000,466.6389,1238.0444,0.0000,478.0278,1238.0444,0.0000,475.0556,1238.0444,0.0000,478.0278,1238.0444,0.0000
EC POINT P-256 mul,EC POINT P-256 mul,,197793.0000,608911.0000,,196522.0000,608911.0000,0.0000,197619.0000,608962.0000,3.0000,197835.0000,608957.0000,2.0000,197977.0000,608962.0000,3.0000,197696.0000,608957.0000,2.0000
EC POINT P-256 mul base,EC POINT P-256 mul base,,32520.0000,84365.0000,,32219.0000,84365.0000,0.0000,32294.5000,84410.0000,3.0000,32272.0000,84405.0000,2.0000,30642.5000,84410.0000,3.0000,32162.0000,84405.0000,2.0000
EC POINT P-256 mul public,EC POINT P-256 mul public,,230009.0000,695346.0000,,227674.0000,695346.0000,0.0000,231194.0000,695407.0000,4.0000,231128.0000,695402.0000,3.0000,229556.0000,695407.0000,4.0000,230988.0000,695402.0000,3.0000
EC POINT P-384 add,EC POINT P-384 add,,4051.8889,8238.1778,,4161.2889,8238.1778,0.0000,4106.3111,8238.1778,0.0000,4082.3556,8238.1778,0.0000,4207.6667,8238.1778,0.0000,4082.3556,8238.1778,0.0000
EC POINT P-384 dbl,EC POINT P-384 dbl,,1585.3182,3833.0909,,1527.8409,3833.0909,0.0000,1552.6023,3833.0909,0.0000,1535.8523,3833.0909,0.0000,1523.7614,3833.0909,0.0000,1535.8523,3833.0909,0.0000
EC POINT P-384 mul,EC POINT P-384 mul,,729711.0000,1781814.0000,,722563.0000,1781814.0000,0.0000,731141.0000,1781865.0000,3.0000,724878.0000,1781860.0000,2.0000,729597.0000,1781865.0000,3.0000,726485.0000,1781860.0000,2.0000
EC POINT P-384 mul base,EC POINT P-384 mul base,,310421.0000,554726.0000,,328080.0000,554726.0000,0.0000,328068.0000,554771.0000,3.0000,325617.0000,554766.0000,2.0000,327987.0000,554771.0000,3.0000,325159.0000,554766.0000,2.0000
EC POINT P-384 mul public,EC POINT P-384 mul public,,1052367.0000,2344619.0000,,1055068.0000,2344619.0000,0.0000,1061720.0000,2344680.0000,4.0000,1052339.0000,2344675.0000,3.0000,1061002.0000,2344680.0000,4.0000,1052591.0000,2344675.0000,3.0000
EC POINT P-521 add,EC POINT P-521 add,,4609.3793,12744.2759,,4564.6897,12744.2759,0.0000,4542.8966,12744.2759,0.0000,4645.5517,12744.2759,0.0000,4688.5862,12744.2759,0.0000,4572.6552,12744.2759,0.0000
EC POINT P-521 dbl,EC POINT P-521 dbl,,1941.8500,6140.1333,,1940.1167,6140.1333,0.0000,1980.0667,6140.1333,0.0000,1976.9333,6140.1333,0.0000,1968.5000,6140.1333,0.0000,1976.9333,6140.1333,0.0000
EC POINT P-521 mul,EC POINT P-521 mul,,1213228.0000,4016801.0000,,1217477.0000,4016801.0000,0.0000,1210024.0000,4016852.0000,3.0000,1210159.0000,4016847.0000,2.0000,1210091.0000,4016852.0000,3.0000,1210117.0000,4016847.0000,2.0000
EC POINT P-521 mul base,EC POINT P-521 mul base,,506898.0000,1135875.0000,,507830.0000,1135875.0000,0.0000,513788.0000,1135920.0000,3.0000,512633.0000,1135915.0000,2.0000,505671.0000,1135920.0000,3.0000,505821.0000,1135915.0000,2.0000
EC POINT P-521 mul public,EC POINT P-521 mul public,,1727449.0000,5165261.0000,,1724415.0000,5165261.0000,0.0000,1728290.0000,5165322.0000,4.0000,1727356.0000,5165317.0000,3.0000,1720423.0000,5165322.0000,4.0000,1720476.0000,5165317.0000,3.0000
EC POINT secp256k1 add,EC POINT secp256k1 add,,2220.8919,5585.2162,,2417.4595,5585.2162,0.0000,2458.6486,5585.2162,0.0000,2457.0270,5585.2162,0.0000,2454.7838,5585.2162,0.0000,2457.0270,5585.2162,0.0000
EC POINT secp256k1 dbl,EC POINT secp256k1 dbl,,2047.2264,4076.1509,,2040.1509,4076.1509,0.0000,2077.6415,4076.1509,0.0000,2115.9623,4076.1509,0.0000,2057.3208,4076.1509,0.0000,2115.9623,4076.1509,0.0000
EC POINT secp256k1 mul,EC POINT secp256k1 mul,,758598.0000,1589403.0000,,755955.0000,1589403.0000,0.0000,774204.0000,1589454.0000,3.0000,774181.0000,1589449.0000,2.0000,768800.0000,1589454.0000,3.0000,774135.0000,1589449.0000,2.0000
EC POINT secp256k1 mul base,EC POINT secp256k1 mul base,,753853.0000,1589375.0000,,755873.0000,1589375.0000,0.0000,774154.0000,1589420.0000,3.0000,774121.0000,1589415.0000,2.0000,766986.0000,1589420.0000,3.0000,774045.0000,1589415.0000,2.0000
EC POINT secp256k1 mul public,EC POINT secp256k1 mul public,,1508830.0000,3184248.0000,,1514037.0000,3184248.0000,0.0000,1550618.0000,3184309.0000,4.0000,1550586.0000,3184304.0000,3.0000,1538008.0000,3184309.0000,4.0000,1550451.0000,3184304.0000,3.0000
ECDH P-224,ECDH P-224,,188983.0000,525211.0000,,191434.0000,525211.0000,0.0000,191638.0000,525334.0000,9.0000,191798.0000,525317.0000,5.0000,192056.0000,525334.0000,9.0000,191687.0000,525317.0000,5.0000
ECDH P-256,ECDH P-256,,239631.0000,709889.0000,,239741.0000,709889.0000,0.0000,241381.0000,710012.0000,9.0000,240709.0000,709995.0000,5.0000,241228.0000,710012.0000,9.0000,239784.0000,709995.0000,5.0000
ECDH P-384,ECDH P-384,,1070681.0000,2362503.0000,,1067556.0000,2362503.0000,0.0000,1070634.0000,2362626.0000,9.0000,1066384.0000,2362609.0000,5.0000,1073966.0000,2362626.0000,9.0000,1061752.0000,2362609.0000,5.0000
ECDH P-521,ECDH P-521,,1743407.0000,5187178.0000,,1740783.0000,5187178.0000,0.0000,1741803.0000,5187301.0000,9.0000,1760700.0000,5187284.0000,5.0000,1738958.0000,5187301.0000,9.0000,1760917.0000,5187284.0000,5.0000
ECDH X25519,ECDH X25519,,129513.0000,375281.0000,,131836.0000,375281.0000,0.0000,132056.0000,375322.0000,4.0000,132078.0000,375312.0000,2.0000,132044.0000,375322.0000,4.0000,132053.0000,375312.0000,2.0000
ECDH secp256k1,ECDH secp256k1,,1551471.0000,3269011.0000,,1544936.0000,3269011.0000,0.0000,1582063.0000,3269134.0000,9.0000,1584983.0000,3269113.0000,5.0000,1581814.0000,3269134.0000,9.0000,1584434.0000,3269113.0000,5.0000
ECDSA P-224 signing,ECDSA P-224 signing,,87957.0000,240434.0000,,88996.0000,240434.0000,0.0000,91275.0000,240501.0000,6.0000,92399.0000,240489.0000,3.0000,91436.0000,240501.0000,6.0000,91045.0000,240489.0000,3.0000
ECDSA P-224 verify,ECDSA P-224 verify,,192416.0000,530752.0000,,194154.0000,530752.0000,0.0000,193979.0000,530752.0000,0.0000,194578.0000,530752.0000,0.0000,193411.0000,530752.0000,0.0000,194655.0000,530752.0000,0.0000
ECDSA P-256 signing,ECDSA P-256 signing,,69583.0000,142721.0000,,68707.0000,142721.0000,0.0000,68546.0000,142792.0000,6.0000,67441.0000,142776.0000,3.0000,67459.0000,142792.0000,6.0000,68747.0000,142776.0000,3.0000
ECDSA P-256 verify,ECDSA P-256 verify,,209905.0000,519943.0000,,233099.0000,519943.0000,0.0000,234256.0000,519943.0000,0.0000,229729.0000,519943.0000,0.0000,233284.0000,519943.0000,0.0000,212623.0000,519943.0000,0.0000
ECDSA P-384 signing,ECDSA P-384 signing,,444409.0000,934348.0000,,458618.0000,934348.0000,0.0000,465820.0000,934415.0000,6.0000,466448.0000,934403.0000,3.0000,466146.0000,934415.0000,6.0000,466398.0000,934403.0000,3.0000
ECDSA P-384 verify,ECDSA P-384 verify,,1039467.0000,2401923.0000,,1056259.0000,2401923.0000,0.0000,1084620.0000,2401923.0000,0.0000,1083179.0000,2401919.0000,0.0000,1087018.0000,2401923.0000,0.0000,1072511.0000,2401919.0000,0.0000
ECDSA P-521 signing,ECDSA P-521 signing,,865710.0000,2170991.0000,,857022.0000,2170991.0000,0.0000,894557.0000,2171058.0000,6.0000,895975.0000,2171046.0000,3.0000,900794.0000,2171058.0000,6.0000,895703.0000,2171046.0000,3.0000
ECDSA P-521 verify,ECDSA P-521 verify,,1808772.0000,5434266.0000,,1809882.0000,5434266.0000,0.0000,1853672.0000,5434266.0000,0.0000,1845591.0000,5434266.0000,0.0000,1849818.0000,5434266.0000,0.0000,1845900.0000,5434266.0000,0.0000
ECDSA secp256k1 signing,ECDSA secp256k1 signing,,824214.0000,1764532.0000,,818198.0000,1764532.0000,0.0000,841406.0000,1764599.0000,6.0000,838561.0000,1764583.0000,3.0000,841770.0000,1764599.0000,6.0000,838487.0000,1764583.0000,3.0000
ECDSA secp256k1 verify,ECDSA secp256k1 verify,,810506.0000,1716720.0000,,811687.0000,1716720.0000,0.0000,826220.0000,1716720.0000,0.0000,829602.0000,1716720.0000,0.0000,828691.0000,1716720.0000,0.0000,829677.0000,1716720.0000,0.0000
EVP ECDH P-224,EVP ECDH P-224,,192089.0000,528004.0000,,192625.0000,528004.0000,0.0000,195878.0000,528674.0000,50.0000,194566.0000,528596.0000,34.0000,193538.0000,528674.0000,50.0000,194310.0000,528596.0000,34.0000
EVP ECDH P-256,EVP ECDH P-256,,239721.0000,712566.0000,,238170.0000,712566.0000,0.0000,244574.0000,713236.0000,50.0000,243520.0000,713162.0000,34.0000,242486.0000,713236.0000,50.0000,242710.0000,713162.0000,34.0000
EVP ECDH P-384,EVP ECDH P-384,,1070275.0000,2366829.0000,,1070956.0000,2366829.0000,0.0000,1068214.0000,2367499.0000,50.0000,1073007.0000,2367421.0000,34.0000,1077031.0000,2367499.0000,50.0000,1071889.0000,2367421.0000,34.0000
EVP ECDH P-521,EVP ECDH P-521,,1753379.0000,5193125.0000,,1760397.0000,5193125.0000,0.0000,1770185.0000,5193795.0000,50.0000,1756577.0000,5193721.0000,34.0000,1760075.0000,5193795.0000,50.0000,1762434.0000,5193721.0000,34.0000
EVP ECDH X25519,EVP ECDH X25519,,134220.0000,378869.0000,,134500.0000,378869.0000,0.0000,135471.0000,379343.0000,34.0000,135101.0000,379292.0000,24.0000,134505.0000,379343.0000,34.0000,135008.0000,379292.0000,24.0000
EVP ECDH secp256k1,EVP ECDH secp256k1,,1553794.0000,3271786.0000,,1547225.0000,3271786.0000,0.0000,1586761.0000,3272460.0000,50.0000,1573089.0000,3272382.0000,34.0000,1562050.0000,3272460.0000,50.0000,1582144.0000,3272382.0000,34.0000
EVP-AES-128-CBC decrypt [1350 B],EVP-AES-128-CBC decrypt,1350,1421.8971,3105.0588,,1444.5221,3105.0588,0.0000,1725.6912,3202.0588,8.0000,1630.1765,3186.0588,5.0000,1511.2059,3202.0588,8.0000,1500.2426,3186.0588,5.0000
EVP-AES-128-CBC decrypt [16 B],EVP-AES-128-CBC decrypt,16,255.1918,664.0117,,255.1347,664.0117,0.0000,553.1274,761.0117,8.0000,452.0703,745.0117,5.0000,344.0717,761.0117,8.0000,340.0893,745.0117,5.0000
EVP-AES-128-CBC decrypt [16384 B],EVP-AES-128-CBC decrypt,16384,15050.2500,31021.6667,,15062.2500,31021.6667,0.0000,15332.4167,31118.6667,8.0000,15241.2500,31102.6667,5.0000,15102.6667,31118.6667,8.0000,15108.4167,31102.6667,5.0000
EVP-AES-128-CBC decrypt [256 B],EVP-AES-128-CBC decrypt,256,446.8554,1117.0193,,489.0578,1117.0193,0.0000,767.6313,1214.0193,8.0000,674.0361,1198.0193,5.0000,533.0916,1214.0193,8.0000,529.0578,1198.0193,5.0000
EVP-AES-128-CBC decrypt [8192 B],EVP-AES-128-CBC decrypt,8192,7629.9167,15805.3333,,7622.5833,15805.3333,0.0000,7913.3333,15902.3333,8.0000,7831.6250,15886.3333,5.0000,7681.1250,15902.3333,8.0000,7689.5417,15886.3333,5.0000
EVP-AES-128-CBC decrypt init,EVP-AES-128-CBC decrypt init,,316.1278,580.0120,,317.1173,580.0120,0.0000,412.0992,601.0120,2.0000,365.0526,596.0120,1.0000,320.1248,601.0120,2.0000,319.1489,596.0120,1.0000
EVP-AES-128-CBC encrypt [1350 B],EVP-AES-128-CBC encrypt,1350,3353.5294,2625.0941,,3360.4353,2625.0941,0.0000,3569.1529,2690.0941,6.0000,3464.2118,2675.0941,3.0000,3368.5176,2690.0941,6.0000,3367.4941,2675.0941,3.0000
EVP-AES-128-CBC encrypt [16 B],EVP-AES-128-CBC encrypt,16,191.1024,427.0070,,191.0849,427.0070,0.0000,403.3132,492.0070,6.0000,296.0280,477.0070,3.0000,199.0787,492.0070,6.0000,198.0665,477.0070,3.0000
EVP-AES-128-CBC encrypt [16384 B],EVP-AES-128-CBC encrypt,16384,39066.4286,27026.1429,,39073.4286,27026.1429,0.0000,39282.0000,27091.1429,6.0000,39172.5714,27076.1429,3.0000,39081.0000,27091.1429,6.0000,39078.2857,27076.1429,3.0000
EVP-AES-128-CBC encrypt [256 B],EVP-AES-128-CBC encrypt,256,756.1813,817.0220,,764.1071,817.0220,0.0000,976.0385,882.0220,6.0000,866.0495,867.0220,3.0000,771.1181,882.0220,6.0000,768.1236,867.0220,3.0000
EVP-AES-128-CBC encrypt [8192 B],EVP-AES-128-CBC encrypt,8192,19607.0000,13713.5333,,19614.5333,13713.5333,0.0000,19824.9333,13778.5333,6.0000,19715.2000,13763.5333,3.0000,19621.8000,13778.5333,6.0000,19618.9333,13763.5333,3.0000
EVP-AES-128-CBC encrypt init,EVP-AES-128-CBC encrypt init,,299.1000,527.0111,,300.0750,527.0111,0.0000,392.0889,548.0111,2.0000,344.0847,543.0111,1.0000,303.1069,548.0111,2.0000,301.1889,543.0111,1.0000
EVP-AES-128-CTR decrypt [1350 B],EVP-AES-128-CTR decrypt,1350,1375.5180,3141.0576,,1375.5540,3141.0576,0.0000,1599.6403,3222.0576,7.0000,1507.3741,3206.0576,4.0000,1424.4604,3222.0576,7.0000,1415.5108,3206.0576,4.0000
EVP-AES-128-CTR decrypt [16 B],EVP-AES-128-CTR decrypt,16,177.0816,393.0062,,177.0567,393.0062,0.0000,371.1150,474.0062,7.0000,292.0606,458.0062,4.0000,211.0536,474.0062,7.0000,207.0451,458.0062,4.0000
EVP-AES-128-CTR decrypt [16384 B],EVP-AES-128-CTR decrypt,16384,14598.0769,32795.6154,,14595.8462,32795.6154,0.0000,15007.3077,32876.6154,7.0000,14910.0000,32860.6154,4.0000,14828.3846,32876.6154,7.0000,14831.0000,32860.6154,4.0000
EVP-AES-128-CTR decrypt [256 B],EVP-AES-128-CTR decrypt,256,363.2481,875.0149,,365.0616,875.0149,0.0000,585.0746,956.0149,7.0000,501.0280,940.0149,4.0000,398.0634,956.0149,7.0000,398.0821,940.0149,4.0000
EVP-AES-128-CTR decrypt [8192 B],EVP-AES-128-CTR decrypt,8192,7351.1250,16551.3333,,7345.4167,16551.3333,0.0000,7664.7083,16632.3333,7.0000,7567.6250,16616.3333,4.0000,7482.8750,16632.3333,7.0000,7480.6250,16616.3333,4.0000
EVP-AES-128-CTR decrypt init,EVP-AES-128-CTR decrypt init,,248.2861,503.0106,,246.3086,503.0106,0.0000,382.0715,524.0106,2.0000,334.0464,519.0106,1.0000,249.1841,524.0106,2.0000,249.1616,519.0106,1.0000
EVP-AES-128-CTR encrypt [1350 B],EVP-AES-128-CTR encrypt,1350,1360.3617,3103.0567,,1362.3830,3103.0567,0.0000,1562.3901,3168.0567,6.0000,1463.3404,3153.0567,3.0000,1393.2766,3168.0567,6.0000,1386.6809,3153.0567,3.0000
EVP-AES-128-CTR encrypt [16 B],EVP-AES-128-CTR encrypt,16,157.0622,355.0056,,157.0552,355.0056,0.0000,329.4965,420.0056,6.0000,242.0336,405.0056,3.0000,180.0510,420.0056,6.0000,179.0462,405.0056,3.0000
EVP-AES-128-CTR encrypt [16384 B],EVP-AES-128-CTR encrypt,16384,14596.4615,32757.6154,,14604.5385,32757.6154,0.0000,14969.0769,32822.6154,6.0000,14865.2308,32807.6154,3.0000,14800.6154,32822.6154,6.0000,14795.8462,32807.6154,3.0000
EVP-AES-128-CTR encrypt [256 B],EVP-AES-128-CTR encrypt,256,343.4507,837.0141,,364.1356,837.0141,0.0000,546.0246,902.0141,6.0000,458.0282,887.0141,3.0000,374.7148,902.0141,6.0000,374.0599,887.0141,3.0000
EVP-AES-128-CTR encrypt [8192 B],EVP-AES-128-CTR encrypt,8192,7346.1538,16513.3077,,7352.5000,16513.3077,0.0000,7627.5385,16578.3077,6.0000,7523.5769,16563.3077,3.0000,7454.6923,16578.3077,6.0000,7449.5385,16563.3077,3.0000
EVP-AES-128-CTR encrypt init,EVP-AES-128-CTR encrypt init,,246.1860,500.0106,,245.2164,500.0106,0.0000,381.2427,521.0106,2.0000,333.3483,516.0106,1.0000,253.5145,521.0106,2.0000,249.4459,516.0106,1.0000
EVP-AES-128-GCM decrypt [1350 B],EVP-AES-128-GCM decrypt,1350,1677.8571,4690.0879,,1736.8571,4690.0879,0.0000,2038.4176,4777.0879,8.0000,1898.3516,4756.0879,4.0000,1703.9890,4777.0879,8.0000,1742.7143,4756.0879,4.0000
EVP-AES-128-GCM decrypt [16 B],EVP-AES-128-GCM decrypt,16,403.0573,941.0176,,434.1960,941.0176,0.0000,746.5330,1028.0176,8.0000,609.0705,1007.0176,4.0000,431.2004,1028.0176,8.0000,444.1652,1007.0176,4.0000
EVP-AES-128-GCM decrypt [16384 B],EVP-AES-128-GCM decrypt,16384,15227.3333,46370.8889,,15267.4444,46370.8889,0.0000,15559.6667,46457.8889,8.0000,15417.0000,46436.8889,4.0000,15233.2222,46457.8889,8.0000,15273.5556,46436.8889,4.0000
EVP-AES-128-GCM decrypt [256 B],EVP-AES-128-GCM decrypt,256,593.1139,1514.0285,,637.2278,1514.0285,0.0000,935.7224,1601.0285,8.0000,798.1139,1580.0285,4.0000,611.1993,1601.0285,8.0000,644.4093,1580.0285,4.0000
EVP-AES-128-GCM decrypt [8192 B],EVP-AES-128-GCM decrypt,8192,7795.7778,23586.4444,,7832.6111,23586.4444,0.0000,8134.1111,23673.4444,8.0000,7992.0000,23652.4444,4.0000,7807.2778,23673.4444,8.0000,7839.1111,23652.4444,4.0000
EVP-AES-128-GCM decrypt init,EVP-AES-128-GCM decrypt init,,705.7000,1017.0258,,748.9613,1017.0258,0.0000,838.1871,1038.0258,2.0000,795.2742,1033.0258,1.0000,751.4935,1038.0258,2.0000,752.4387,1033.0258,1.0000
EVP-AES-128-GCM encrypt [1350 B],EVP-AES-128-GCM encrypt,1350,1633.3176,4669.0941,,1657.6000,4669.0941,0.0000,2007.1647,4754.0941,8.0000,1867.3412,4734.0941,4.0000,1734.2941,4754.0941,8.0000,1734.3412,4734.0941,4.0000
EVP-AES-128-GCM encrypt [16 B],EVP-AES-128-GCM encrypt,16,398.4832,920.0168,,429.3193,920.0168,0.0000,785.6618,1005.0168,8.0000,645.2437,985.0168,4.0000,503.2122,1005.0168,8.0000,503.1534,985.0168,4.0000
EVP-AES-128-GCM encrypt [16384 B],EVP-AES-128-GCM encrypt,16384,14204.6250,46350.0000,,14225.6250,46350.0000,0.0000,14603.0000,46435.0000,8.0000,14464.1250,46415.0000,4.0000,14321.6250,46435.0000,8.0000,14322.1250,46415.0000,4.0000
EVP-AES-128-GCM encrypt [256 B],EVP-AES-128-GCM encrypt,256,589.0866,1493.0289,,611.1877,1493.0289,0.0000,975.0505,1578.0289,8.0000,835.2022,1558.0289,4.0000,693.1336,1578.0289,8.0000,693.1841,1558.0289,4.0000
EVP-AES-128-GCM encrypt [8192 B],EVP-AES-128-GCM encrypt,8192,7291.1250,23565.5000,,7310.3125,23565.5000,0.0000,7679.8750,23650.5000,8.0000,7540.8125,23630.5000,4.0000,7398.5625,23650.5000,8.0000,7398.8125,23630.5000,4.0000
EVP-AES-128-GCM encrypt init,EVP-AES-128-GCM encrypt init,,705.7492,1017.0257,,751.7846,1017.0257,0.0000,839.7878,1038.0257,2.0000,794.2637,1033.0257,1.0000,751.3280,1038.0257,2.0000,752.9518,1033.0257,1.0000
EVP-AES-192-CBC decrypt [1350 B],EVP-AES-192-CBC decrypt,1350,1666.8017,3565.0661,,1690.6446,3565.0661,0.0000,1974.1736,3662.0661,8.0000,1870.4463,3646.0661,5.0000,1768.2314,3662.0661,8.0000,1769.3884,3646.0661,5.0000
EVP-AES-192-CBC decrypt [16 B],EVP-AES-192-CBC decrypt,16,261.1345,688.0120,,261.1420,688.0120,0.0000,568.4858,785.0120,8.0000,470.0717,769.0120,5.0000,354.0732,785.0120,8.0000,350.0747,769.0120,5.0000
EVP-AES-192-CBC decrypt [16384 B],EVP-AES-192-CBC decrypt,16384,17653.4545,36501.7273,,17701.6364,36501.7273,0.0000,18102.0000,36598.7273,8.0000,17989.3636,36582.7273,5.0000,17863.3636,36598.7273,8.0000,17848.1818,36582.7273,5.0000
EVP-AES-192-CBC decrypt [256 B],EVP-AES-192-CBC decrypt,256,500.1872,1221.0214,,527.0963,1221.0214,0.0000,836.0588,1318.0214,8.0000,733.0401,1302.0214,5.0000,589.0428,1318.0214,8.0000,584.0401,1302.0214,5.0000
EVP-AES-192-CBC decrypt [8192 B],EVP-AES-192-CBC decrypt,8192,8950.4348,18549.3478,,9027.0000,18549.3478,0.0000,9323.3478,18646.3478,8.0000,9210.6522,18630.3478,5.0000,9085.6087,18646.3478,8.0000,9069.1739,18630.3478,5.0000
EVP-AES-192-CBC decrypt init,EVP-AES-192-CBC decrypt init,,305.3674,616.0124,,304.0868,616.0124,0.0000,397.1132,637.0124,2.0000,351.1271,632.0124,1.0000,307.1519,637.0124,2.0000,306.1535,632.0124,1.0000
EVP-AES-192-CBC encrypt [1350 B],EVP-AES-192-CBC encrypt,1350,4031.6806,3400.1111,,4041.5556,3400.1111,0.0000,4253.5139,3465.1111,6.0000,4144.2500,3450.1111,3.0000,4047.6528,3465.1111,6.0000,4045.6667,3450.1111,3.0000
EVP-AES-192-CBC encrypt [16 B],EVP-AES-192-CBC encrypt,16,199.2406,455.0072,,208.0898,455.0072,0.0000,424.1131,520.0072,6.0000,312.0287,505.0072,3.0000,211.0978,520.0072,6.0000,210.0718,505.0072,3.0000
EVP-AES-192-CBC encrypt [16384 B],EVP-AES-192-CBC encrypt,16384,47265.5000,36261.3333,,47275.1667,36261.3333,0.0000,47489.3333,36326.3333,6.0000,47373.0000,36311.3333,3.0000,47283.8333,36326.3333,6.0000,47281.1667,36311.3333,3.0000
EVP-AES-192-CBC encrypt [256 B],EVP-AES-192-CBC encrypt,256,890.0990,980.0256,,901.1214,980.0256,0.0000,1114.3227,1045.0256,6.0000,1002.0575,1030.0256,3.0000,907.3674,1045.0256,6.0000,905.1470,1030.0256,3.0000
EVP-AES-192-CBC encrypt [8192 B],EVP-AES-192-CBC encrypt,8192,23709.6667,18340.6667,,23720.0833,18340.6667,0.0000,23932.0833,18405.6667,6.0000,23819.5000,18390.6667,3.0000,23728.4167,18405.6667,6.0000,23725.5833,18390.6667,3.0000
EVP-AES-192-CBC encrypt init,EVP-AES-192-CBC encrypt init,,285.3570,555.0114,,286.1138,555.0114,0.0000,380.0839,576.0114,2.0000,332.0043,571.0114,1.0000,289.0882,576.0114,2.0000,287.1181,571.0114,1.0000
EVP-AES-192-CTR decrypt [1350 B],EVP-AES-192-CTR decrypt,1350,1628.0855,3605.0684,,1633.0769,3605.0684,0.0000,1846.0769,3686.0684,7.0000,1762.8034,3670.0684,4.0000,1663.9231,3686.0684,7.0000,1662.9402,3670.0684,4.0000
EVP-AES-192-CTR decrypt [16 B],EVP-AES-192-CTR decrypt,16,184.0577,409.0063,,184.0498,409.0063,0.0000,379.1905,490.0063,7.0000,299.5605,474.0063,4.0000,218.0482,490.0063,7.0000,214.0696,474.0063,4.0000
EVP-AES-192-CTR decrypt [16384 B],EVP-AES-192-CTR decrypt,16384,17614.6000,38267.8000,,17601.9000,38267.8000,0.0000,17808.3000,38348.8000,7.0000,17728.5000,38332.8000,4.0000,17641.6000,38348.8000,7.0000,17639.8000,38332.8000,4.0000
EVP-AES-192-CTR decrypt [256 B],EVP-AES-192-CTR decrypt,256,413.2215,971.0172,,417.0753,971.0172,0.0000,638.1871,1052.0172,7.0000,553.0473,1036.0172,4.0000,451.0344,1052.0172,7.0000,448.5677,1036.0172,4.0000
EVP-AES-192-CTR decrypt [8192 B],EVP-AES-192-CTR decrypt,8192,8856.3333,19287.3810,,8862.1429,19287.3810,0.0000,9070.6190,19368.3810,7.0000,8986.8571,19352.3810,4.0000,8884.7143,19368.3810,7.0000,8887.0476,19352.3810,4.0000
EVP-AES-192-CTR decrypt init,EVP-AES-192-CTR decrypt init,,238.2671,531.0107,,249.1597,531.0107,0.0000,370.0725,552.0107,2.0000,323.0456,547.0107,1.0000,251.1799,552.0107,2.0000,250.1557,547.0107,1.0000
EVP-AES-192-CTR encrypt [1350 B],EVP-AES-192-CTR encrypt,1350,1629.5593,3567.0678,,1635.6441,3567.0678,0.0000,1808.4153,3632.0678,6.0000,1726.4068,3617.0678,3.0000,1656.4915,3632.0678,6.0000,1658.5254,3617.0678,3.0000
EVP-AES-192-CTR encrypt [16 B],EVP-AES-192-CTR encrypt,16,164.1096,371.0057,,164.0566,371.0057,0.0000,341.0976,436.0057,6.0000,250.0537,421.0057,3.0000,187.0672,436.0057,6.0000,186.0594,421.0057,3.0000
EVP-AES-192-CTR encrypt [16384 B],EVP-AES-192-CTR encrypt,16384,17597.9000,38229.8000,,17605.3000,38229.8000,0.0000,17773.3000,38294.8000,6.0000,17680.6000,38279.8000,3.0000,17611.3000,38294.8000,6.0000,17613.2000,38279.8000,3.0000
EVP-AES-192-CTR encrypt [256 B],EVP-AES-192-CTR encrypt,256,392.5204,933.0163,,416.0837,933.0163,0.0000,601.1449,998.0163,6.0000,510.0327,983.0163,3.0000,423.0796,998.0163,6.0000,424.1408,983.0163,3.0000
