rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
10,baseline2,3.163155,0.288012,9.1052,10527241102943389473,0.2191,0.8694
10,baseline,3.172547,0.287527,9.0630,10527241102943389473,0.2191,0.8694
10,null,3.141487,0.287526,9.1525,10527241102943389473,0.2191,0.8694
10,always,3.225470,0.306637,9.5067,10527241102943389473,0.2191,0.8694
10,oracle,3.215160,0.306166,9.5226,10527241102943389473,0.2191,0.8694
10,pass_hoist,3.483972,0.413478,11.8680,10527241102943389473,0.2191,0.8694
10,pass_clone,3.330159,0.315784,9.4825,10527241102943389473,0.2191,0.8694
11,baseline,3.146609,0.287596,9.1399,10527241102943389473,0.2185,0.8689
11,null,3.153731,0.287772,9.1248,10527241102943389473,0.2185,0.8689
11,always,3.235639,0.306459,9.4714,10527241102943389473,0.2185,0.8689
11,oracle,3.187981,0.306000,9.5986,10527241102943389473,0.2185,0.8689
11,pass_hoist,3.489136,0.413579,11.8533,10527241102943389473,0.2185,0.8689
11,pass_clone,3.319415,0.315469,9.5037,10527241102943389473,0.2185,0.8689
11,baseline2,3.174235,0.287868,9.0689,10527241102943389473,0.2185,0.8689
12,null,3.168054,0.287812,9.0848,10527241102943389473,0.2191,0.8690
12,always,3.227296,0.306931,9.5105,10527241102943389473,0.2191,0.8690
12,oracle,3.212664,0.305674,9.5147,10527241102943389473,0.2191,0.8690
12,pass_hoist,3.507053,0.412435,11.7602,10527241102943389473,0.2191,0.8690
12,pass_clone,3.320581,0.315879,9.5128,10527241102943389473,0.2191,0.8690
12,baseline2,3.160301,0.287723,9.1043,10527241102943389473,0.2191,0.8690
12,baseline,3.135957,0.287676,9.1735,10527241102943389473,0.2191,0.8690
13,always,3.255740,0.307195,9.4355,10527241102943389473,0.2184,0.8689
13,oracle,3.220066,0.306145,9.5074,10527241102943389473,0.2184,0.8689
13,pass_hoist,3.489774,0.413926,11.8611,10527241102943389473,0.2184,0.8689
13,pass_clone,3.322968,0.315790,9.5032,10527241102943389473,0.2184,0.8689
13,baseline2,3.143641,0.288044,9.1628,10527241102943389473,0.2184,0.8689
13,baseline,3.139617,0.287423,9.1547,10527241102943389473,0.2184,0.8689
13,null,3.159739,0.287590,9.1017,10527241102943389473,0.2184,0.8689
14,oracle,3.212168,0.306833,9.5522,10527241102943389473,0.2188,0.8682
14,pass_hoist,3.509887,0.413879,11.7918,10527241102943389473,0.2188,0.8682
14,pass_clone,3.336153,0.316151,9.4765,10527241102943389473,0.2188,0.8682
14,baseline2,3.152397,0.287429,9.1178,10527241102943389473,0.2188,0.8682
14,baseline,3.150269,0.288136,9.1464,10527241102943389473,0.2188,0.8682
14,null,3.163549,0.287988,9.1033,10527241102943389473,0.2188,0.8682
14,always,3.231900,0.306755,9.4915,10527241102943389473,0.2188,0.8682
15,pass_hoist,3.511007,0.413991,11.7912,10527241102943389473,0.2188,0.8703
15,pass_clone,3.351191,0.316332,9.4394,10527241102943389473,0.2188,0.8703
15,baseline2,3.154130,0.288485,9.1463,10527241102943389473,0.2188,0.8703
15,baseline,3.158700,0.288198,9.1239,10527241102943389473,0.2188,0.8703
15,null,3.180718,0.288891,9.0826,10527241102943389473,0.2188,0.8703
15,always,3.218290,0.307162,9.5443,10527241102943389473,0.2188,0.8703
15,oracle,3.214130,0.307505,9.5673,10527241102943389473,0.2188,0.8703
16,pass_clone,3.355123,0.317305,9.4573,10527241102943389473,0.2188,0.8697
16,baseline2,3.151430,0.288066,9.1408,10527241102943389473,0.2188,0.8697
16,baseline,3.143955,0.288877,9.1883,10527241102943389473,0.2188,0.8697
16,null,3.152467,0.288780,9.1604,10527241102943389473,0.2188,0.8697
16,always,3.240017,0.307284,9.4840,10527241102943389473,0.2188,0.8697
16,oracle,3.221542,0.307953,9.5592,10527241102943389473,0.2188,0.8697
16,pass_hoist,3.543361,0.415709,11.7320,10527241102943389473,0.2188,0.8697
17,baseline2,3.152433,0.288105,9.1391,10527241102943389473,0.2192,0.8702
17,baseline,3.151717,0.288246,9.1457,10527241102943389473,0.2192,0.8702
17,null,3.178919,0.288278,9.0684,10527241102943389473,0.2192,0.8702
17,always,3.218845,0.307022,9.5383,10527241102943389473,0.2192,0.8702
17,oracle,3.226989,0.306517,9.4986,10527241102943389473,0.2192,0.8702
17,pass_hoist,3.507307,0.415420,11.8444,10527241102943389473,0.2192,0.8702
17,pass_clone,3.323002,0.316888,9.5362,10527241102943389473,0.2192,0.8702
18,baseline,3.136579,0.290555,9.2634,10527241102943389473,0.2192,0.8694
18,null,3.127300,0.287973,9.2084,10527241102943389473,0.2192,0.8694
18,always,3.229260,0.307357,9.5179,10527241102943389473,0.2192,0.8694
18,oracle,3.226911,0.307202,9.5200,10527241102943389473,0.2192,0.8694
18,pass_hoist,3.488004,0.415047,11.8993,10527241102943389473,0.2192,0.8694
18,pass_clone,3.342932,0.316637,9.4718,10527241102943389473,0.2192,0.8694
18,baseline2,3.161793,0.288005,9.1089,10527241102943389473,0.2192,0.8694
19,null,3.144015,0.288024,9.1610,10527241102943389473,0.2177,0.8699
19,always,3.226550,0.306622,9.5031,10527241102943389473,0.2177,0.8699
19,oracle,3.213032,0.307181,9.5605,10527241102943389473,0.2177,0.8699
19,pass_hoist,3.530454,0.415618,11.7724,10527241102943389473,0.2177,0.8699
19,pass_clone,3.325862,0.316261,9.5092,10527241102943389473,0.2177,0.8699
19,baseline2,3.155945,0.288020,9.1263,10527241102943389473,0.2177,0.8699
19,baseline,3.168401,0.288318,9.0998,10527241102943389473,0.2177,0.8699
20,always,3.246851,0.306990,9.4550,10527241102943389473,0.2174,0.8696
20,oracle,3.218529,0.306496,9.5229,10527241102943389473,0.2174,0.8696
20,pass_hoist,3.509381,0.419096,11.9422,10527241102943389473,0.2174,0.8696
20,pass_clone,3.346675,0.316758,9.4648,10527241102943389473,0.2174,0.8696
20,baseline2,3.173715,0.289441,9.1200,10527241102943389473,0.2174,0.8696
20,baseline,3.184893,0.288609,9.0618,10527241102943389473,0.2174,0.8696
