rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
7,pass_clone,3.324009,0.316525,9.5224,10527241102943389473,0.2196,0.8711
7,pass_clonerelax,3.348566,0.354013,10.5721,10527241102943389473,0.2196,0.8711
7,baseline2,3.172395,0.288442,9.0923,10527241102943389473,0.2196,0.8711
7,baseline,3.160290,0.288385,9.1253,10527241102943389473,0.2196,0.8711
8,always,3.251050,0.307213,9.4497,10527241102943389473,0.2179,0.8683
8,oracle,3.210595,0.307254,9.5700,10527241102943389473,0.2179,0.8683
8,pass_hoist,3.493450,0.417544,11.9522,10527241102943389473,0.2179,0.8683
8,pass_relaxed,3.330696,0.353243,10.6057,10527241102943389473,0.2179,0.8683
8,pass_clone,3.313722,0.317002,9.5663,10527241102943389473,0.2179,0.8683
8,pass_clonerelax,3.335975,0.353863,10.6075,10527241102943389473,0.2179,0.8683
8,baseline2,3.156601,0.288428,9.1373,10527241102943389473,0.2179,0.8683
8,baseline,3.134716,0.288493,9.2032,10527241102943389473,0.2179,0.8683
8,null,3.163240,0.288586,9.1231,10527241102943389473,0.2179,0.8683
9,oracle,3.203228,0.307670,9.6050,10527241102943389473,0.2182,0.8697
9,pass_hoist,3.504056,0.417408,11.9121,10527241102943389473,0.2182,0.8697
9,pass_relaxed,3.344858,0.366687,10.9627,10527241102943389473,0.2182,0.8697
9,pass_clone,3.325780,0.317132,9.5356,10527241102943389473,0.2182,0.8697
9,pass_clonerelax,3.329145,0.353785,10.6269,10527241102943389473,0.2182,0.8697
9,baseline2,3.142026,0.288395,9.1786,10527241102943389473,0.2182,0.8697
9,baseline,3.169142,0.289271,9.1277,10527241102943389473,0.2182,0.8697
9,null,3.162179,0.288994,9.1391,10527241102943389473,0.2182,0.8697
9,always,3.261399,0.307563,9.4304,10527241102943389473,0.2182,0.8697
10,pass_hoist,3.525556,0.418243,11.8632,10527241102943389473,0.2172,0.8687
10,pass_relaxed,3.341133,0.353131,10.5692,10527241102943389473,0.2172,0.8687
10,pass_clone,3.323332,0.316979,9.5380,10527241102943389473,0.2172,0.8687
10,pass_clonerelax,3.371292,0.354243,10.5076,10527241102943389473,0.2172,0.8687
