rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
10,baseline2,3.170627,0.288397,9.0959,10527241102943389473,0.2194,0.8696
10,baseline,3.148066,0.287743,9.1403,10527241102943389473,0.2194,0.8696
10,null,3.177635,0.287887,9.0598,10527241102943389473,0.2194,0.8696
10,always,3.233413,0.307293,9.5037,10527241102943389473,0.2194,0.8696
10,oracle,3.208546,0.307717,9.5905,10527241102943389473,0.2194,0.8696
10,pass_region,3.555362,0.429794,12.0886,10527241102943389473,0.2194,0.8696
10,pass_hoist,3.501705,0.417674,11.9277,10527241102943389473,0.2194,0.8696
11,baseline,3.162558,0.288235,9.1140,10527241102943389473,0.2189,0.8689
11,null,3.163675,0.287691,9.0936,10527241102943389473,0.2189,0.8689
11,always,3.247360,0.307523,9.4699,10527241102943389473,0.2189,0.8689
11,oracle,3.196895,0.307274,9.6116,10527241102943389473,0.2189,0.8689
11,pass_region,3.568033,0.428612,12.0126,10527241102943389473,0.2189,0.8689
11,pass_hoist,3.519598,0.417179,11.8530,10527241102943389473,0.2189,0.8689
11,baseline2,3.154141,0.288517,9.1472,10527241102943389473,0.2189,0.8689
12,null,3.178142,0.288101,9.0651,10527241102943389473,0.2205,0.8695
12,always,3.238632,0.307452,9.4933,10527241102943389473,0.2205,0.8695
12,oracle,3.171255,0.307266,9.6891,10527241102943389473,0.2205,0.8695
12,pass_region,3.572274,0.429672,12.0280,10527241102943389473,0.2205,0.8695
12,pass_hoist,3.491152,0.417012,11.9448,10527241102943389473,0.2205,0.8695
12,baseline2,3.159203,0.287770,9.1089,10527241102943389473,0.2205,0.8695
12,baseline,3.151531,0.287850,9.1337,10527241102943389473,0.2205,0.8695
13,always,3.246166,0.308168,9.4933,10527241102943389473,0.2188,0.8689
13,oracle,3.193381,0.307867,9.6408,10527241102943389473,0.2188,0.8689
13,pass_region,3.544668,0.429421,12.1146,10527241102943389473,0.2188,0.8689
13,pass_hoist,3.511618,0.417408,11.8865,10527241102943389473,0.2188,0.8689
13,baseline2,3.167675,0.287932,9.0897,10527241102943389473,0.2188,0.8689
13,baseline,3.147755,0.288562,9.1672,10527241102943389473,0.2188,0.8689
13,null,3.163816,0.287913,9.1002,10527241102943389473,0.2188,0.8689
14,oracle,3.182608,0.308090,9.6804,10527241102943389473,0.2246,0.8689
14,pass_region,3.560334,0.428659,12.0399,10527241102943389473,0.2246,0.8689
14,pass_hoist,3.510677,0.417764,11.8998,10527241102943389473,0.2246,0.8689
14,baseline2,3.178838,0.288235,9.0673,10527241102943389473,0.2246,0.8689
14,baseline,3.154747,0.288838,9.1557,10527241102943389473,0.2246,0.8689
14,null,3.152312,0.287748,9.1282,10527241102943389473,0.2246,0.8689
14,always,3.260899,0.308501,9.4606,10527241102943389473,0.2246,0.8689
15,pass_region,3.556453,0.429508,12.0769,10527241102943389473,0.2197,0.8684
15,pass_hoist,3.501406,0.418618,11.9557,10527241102943389473,0.2197,0.8684
15,baseline2,3.152179,0.288439,9.1505,10527241102943389473,0.2197,0.8684
15,baseline,3.140534,0.288268,9.1789,10527241102943389473,0.2197,0.8684
15,null,3.167363,0.288325,9.1030,10527241102943389473,0.2197,0.8684
15,always,3.244266,0.307650,9.4829,10527241102943389473,0.2197,0.8684
15,oracle,3.183689,0.308097,9.6774,10527241102943389473,0.2197,0.8684
16,pass_hoist,3.506044,0.418407,11.9339,10527241102943389473,0.2207,0.8684
16,baseline2,3.140088,0.288428,9.1853,10527241102943389473,0.2207,0.8684
16,baseline,3.167238,0.288081,9.0957,10527241102943389473,0.2207,0.8684
16,null,3.162725,0.288392,9.1185,10527241102943389473,0.2207,0.8684
16,always,3.225632,0.307663,9.5381,10527241102943389473,0.2207,0.8684
16,oracle,3.186919,0.307591,9.6517,10527241102943389473,0.2207,0.8684
16,pass_region,3.583301,0.429285,11.9802,10527241102943389473,0.2207,0.8684
17,baseline2,3.165658,0.288584,9.1161,10527241102943389473,0.2205,0.8693
17,baseline,3.170646,0.287802,9.0771,10527241102943389473,0.2205,0.8693
17,null,3.159500,0.288199,9.1217,10527241102943389473,0.2205,0.8693
17,always,3.260739,0.308378,9.4573,10527241102943389473,0.2205,0.8693
17,oracle,3.198761,0.307694,9.6192,10527241102943389473,0.2205,0.8693
17,pass_region,3.578684,0.429514,12.0020,10527241102943389473,0.2205,0.8693
17,pass_hoist,3.505608,0.418010,11.9240,10527241102943389473,0.2205,0.8693
18,baseline,3.162175,0.288509,9.1237,10527241102943389473,0.2191,0.8696
18,null,3.168860,0.288451,9.1027,10527241102943389473,0.2191,0.8696
18,always,3.243637,0.307432,9.4780,10527241102943389473,0.2191,0.8696
18,oracle,3.179484,0.308030,9.6880,10527241102943389473,0.2191,0.8696
18,pass_region,3.575485,0.428954,11.9971,10527241102943389473,0.2191,0.8696
18,pass_hoist,3.507801,0.418102,11.9192,10527241102943389473,0.2191,0.8696
18,baseline2,3.185204,0.287546,9.0276,10527241102943389473,0.2191,0.8696
19,null,3.171687,0.288674,9.1016,10527241102943389473,0.2242,0.8690
