rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
10,baseline2,3.150425,0.286901,9.1068,10527241102943389473,0.2208,0.8688
10,baseline,3.156545,0.286547,9.0779,10527241102943389473,0.2208,0.8688
10,null,3.164417,0.287378,9.0815,10527241102943389473,0.2208,0.8688
10,always,3.243934,0.305181,9.4077,10527241102943389473,0.2208,0.8688
10,oracle,3.133588,0.306025,9.7660,10527241102943389473,0.2208,0.8688
10,pass_region,3.535818,0.418026,11.8226,10527241102943389473,0.2208,0.8688
10,pass_hoist,3.481460,0.407791,11.7132,10527241102943389473,0.2208,0.8688
11,baseline,3.164419,0.287042,9.0709,10527241102943389473,0.2190,0.8683
11,null,3.162567,0.286645,9.0637,10527241102943389473,0.2190,0.8683
11,always,3.227350,0.305151,9.4552,10527241102943389473,0.2190,0.8683
11,oracle,3.149620,0.306390,9.7278,10527241102943389473,0.2190,0.8683
11,pass_region,3.533879,0.417483,11.8137,10527241102943389473,0.2190,0.8683
11,pass_hoist,3.502767,0.408731,11.6688,10527241102943389473,0.2190,0.8683
11,baseline2,3.152482,0.286626,9.0921,10527241102943389473,0.2190,0.8683
12,null,3.158771,0.286114,9.0578,10527241102943389473,0.2198,0.8687
12,always,3.212028,0.305774,9.5196,10527241102943389473,0.2198,0.8687
12,oracle,3.143941,0.306436,9.7469,10527241102943389473,0.2198,0.8687
12,pass_region,3.543723,0.419392,11.8348,10527241102943389473,0.2198,0.8687
12,pass_hoist,3.481215,0.408162,11.7247,10527241102943389473,0.2198,0.8687
12,baseline2,3.125311,0.286176,9.1567,10527241102943389473,0.2198,0.8687
12,baseline,3.148126,0.288338,9.1590,10527241102943389473,0.2198,0.8687
13,always,3.224587,0.304436,9.4411,10527241102943389473,0.2173,0.8690
13,oracle,3.132102,0.305181,9.7436,10527241102943389473,0.2173,0.8690
13,pass_region,3.525078,0.419071,11.8883,10527241102943389473,0.2173,0.8690
13,pass_hoist,3.456879,0.408166,11.8074,10527241102943389473,0.2173,0.8690
13,baseline2,3.147654,0.286929,9.1156,10527241102943389473,0.2173,0.8690
13,baseline,3.146889,0.286947,9.1184,10527241102943389473,0.2173,0.8690
