arm,function,undertaint_ops,sites
api_off,mbedtls_ssl_write_sig_alg_ext,183,27
api_off,mbedtls_psa_get_random,183,4
api_off,mbedtls_ssl_tls13_generate_and_write_xxdh_key_exchange,178,30
api_off,psa_generate_key_custom,175,30
api_off,mbedtls_ecp_point_read_binary,171,31
api_off,mbedtls_ssl_tls13_is_supported_versions_ext_present_in_exts,168,21
api_off,x509_get_crt_ext,168,26
api_off,mbedtls_ecp_check_pubkey,168,23
api_off,mbedtls_sha512_init,162,8
api_off,mbedtls_mpi_core_fill_random,161,15
api_off,ssl_tls13_calc_finished_core,160,11
api_off,mbedtls_ssl_tls13_export_handshake_psk,156,16
api_off,mbedtls_ecp_group_init,156,14
api_off,ssl_session_load,153,39
api_off,mbedtls_ssl_handshake_free,150,25
api_off,mbedtls_ssl_tls13_process_finished_message,150,22
api_off,mbedtls_ssl_tls13_populate_transform,150,16
api_off,ssl_tls13_select_ciphersuite,149,21
api_off,mbedtls_ssl_handle_message_type,147,10
api_off,psa_hash_clone,144,4
api_off,ssl_tls13_write_key_share_ext,138,36
api_off,mbedtls_ssl_get_handshake_transcript,136,6
api_off,psa_hash_abort,132,9
api_off,mbedtls_ssl_tls13_calculate_verify_data,129,11
api_off,mbedtls_ecp_keypair_init,127,18
api_off,psa_hash_compute,127,6
api_off,mbedtls_ssl_get_mode_from_transform,126,9
api_off,ssl_tls13_write_new_session_ticket,125,36
api_off,mbedtls_ecdh_calc_secret,122,17
api_off,mbedtls_ssl_reset_in_out_pointers,121,17
api_off,mbedtls_ssl_tls13_derive_secret,120,8
api_off,mbedtls_dhm_init,120,5
api_off,mbedtls_ecc_group_from_psa,120,8
api_off,ssl_tls13_parse_supported_versions_ext,116,29
api_off,mbedtls_ssl_tls13_key_schedule_stage_early,115,16
api_off,mbedtls_ssl_transform_free,109,9
api_off,psa_get_key_attributes,109,7
api_off,mbedtls_ssl_tls13_write_binders_of_pre_shared_key_ext,108,29
api_off,psa_export_public_key,106,15
api_off,mbedtls_ecdh_get_params,104,17
api_off,mbedtls_mpi_write_binary_le,102,6
api_off,mbedtls_psa_ecp_generate_key,102,17
api_off,mbedtls_ssl_tls13_fetch_handshake_msg,101,9
api_off,mbedtls_ssl_tls13_read_public_xxdhe_share,100,15
api_off,mbedtls_psa_ecp_export_public_key,98,18
api_off,ssl_tls13_parse_server_pre_shared_key_ext,97,27
api_off,mbedtls_ssl_read_version,96,6
api_off,mbedtls_ssl_get_ecp_group_id_from_tls_id,96,4
api_off,ssl_session_save,93,30
api_off,mbedtls_ssl_tls13_compute_application_transform,93,16
api_off,mbedtls_ecp_point_write_binary,93,21
api_off,mbedtls_ssl_start_handshake_msg,90,5
api_off,mbedtls_debug_print_ret,88,1
api_off,psa_key_agreement_raw_internal,88,13
api_off,mbedtls_ssl_ticket_parse,86,23
api_off,ssl_tls13_offered_psks_check_identity_match,85,21
api_off,mbedtls_dhm_free,84,14
api_off,mbedtls_psa_hash_setup,84,9
api_off,mbedtls_sha256_init,84,4
api_off,ssl_tls13_write_server_pre_shared_key_ext,76,22
api_off,memcmp,76,17
api_off,mbedtls_x509_crt_parse_der_internal,75,25
api_off,mbedtls_ssl_get_extension_id,72,1
api_off,mbedtls_ssl_handshake_step,72,3
api_off,mbedtls_ssl_tls13_write_finished_message,72,12
api_off,mbedtls_asn1_get_bitstring_null,72,12
api_off,ssl_tls13_parse_key_share_ext,70,18
api_off,mbedtls_psa_hash_compute,70,4
api_off,psa_export_public_key_internal,69,10
api_off,psa_reserve_free_key_slot,68,17
api_off,ssl_tls13_parse_key_exchange_modes_ext,66,17
api_off,mbedtls_x509_get_time,66,11
api_off,psa_start_key_creation,66,10
api_off,mbedtls_sha512_starts,66,4
api_off,mbedtls_x509_get_subject_alt_name_ext,63,20
api_off,ecp_randomize_mxz,63,13
api_off,mbedtls_aes_setkey_enc,63,1
api_off,mbedtls_ssl_set_hs_psk,61,10
api_off,mbedtls_ssl_ticket_write,60,20
api_off,mbedtls_ssl_tls13_create_psk_binder,60,11
api_off,x509_get_authority_key_id,60,20
api_off,psa_key_derivation_setup,60,2
api_off,ssl_tls13_write_binder,58,14
api_off,mbedtls_ssl_tls13_handshake_server_step,54,8
api_off,mbedtls_ssl_tls13_make_traffic_keys,54,7
api_off,mbedtls_ssl_add_hs_hdr_to_checksum,52,7
api_off,ssl_tls13_write_server_hello_supported_versions_ext,52,14
api_off,mbedtls_psa_ecp_export_key,50,16
api_off,mbedtls_cipher_setkey,49,2
api_off,mbedtls_ssl_buffering_free,48,8
api_off,mbedtls_ssl_tls13_derive_handshake_secrets,48,8
api_off,psa_generate_key_internal,46,7
api_off,ssl_tls13_offered_psks_check_binder_match,44,11
api_off,psa_key_algorithm_permits,43,1
api_off,mbedtls_asn1_free_named_data_list_shallow,42,4
api_off,mbedtls_mpi_grow,42,8
api_off,mbedtls_sha256_starts,42,5
api_off,mbedtls_ssl_free,41,9
api_off,ssl_tls13_write_encrypted_extensions,39,13
api_off,mbedtls_ssl_tls13_write_change_cipher_spec,36,6
api_off,mbedtls_ssl_ciphersuite_from_id,36,2
api_off,mbedtls_ecp_gen_key,36,5
api_off,mbedtls_ecp_keypair_free,33,7
api_off,mbedtls_pk_parse_subpubkey,33,11
api_off,mbedtls_ssl_session_copy,32,8
api_off,ssl_tls13_postprocess_server_hello,32,10
api_off,psa_mac_finalize_alg_and_key_validation,32,2
api_off,mbedtls_ssl_set_inbound_transform,31,3
api_off,ssl_tls13_write_server_hello,30,9
api_off,psa_mac_sign_finish,29,1
api_off,mbedtls_ssl_finish_handshake_msg,28,2
api_off,mbedtls_asn1_get_bool,27,3
api_off,mbedtls_ssl_tls13_derive_application_secrets,24,4
api_off,mbedtls_ssl_tls13_compute_resumption_master_secret,24,4
api_off,mbedtls_x509_get_ext,24,8
api_off,mbedtls_ecp_write_key_ext,23,4
api_off,ssl_write_alpn_ext,21,6
api_off,mbedtls_x509_get_sig,21,7
api_off,mbedtls_x509_parse_subject_alt_name,21,7
api_off,x509_get_dates,21,7
api_off,x509_get_subject_key_id,21,7
api_off,mbedtls_ecp_copy,20,5
api_off,mbedtls_mpi_fill_random,19,3
api_off,mbedtls_ssl_get_psa_curve_info_from_tls_id,16,4
api_off,mbedtls_ssl_set_session,15,5
api_off,mbedtls_ssl_session_load,15,4
api_off,ssl_tls13_handshake_wrapup,15,5
api_off,mbedtls_to_psa_error,14,7
api_off,ecp_normalize_mxz,13,12
api_off,main,12,3
api_off,mbedtls_ssl_optimize_checksum,12,2
api_off,ssl_tls13_write_server_finished,12,4
api_off,x509_get_uid,12,2
api_off,mbedtls_ecp_curve_info_from_grp_id,12,2
api_off,psa_driver_wrapper_export_public_key,12,2
api_off,mbedtls_ecc_group_to_psa,12,2
api_off,mbedtls_ssl_set_outbound_transform,11,1
api_off,mbedtls_ssl_setup,11,2
api_off,mbedtls_ssl_write_version,10,1
api_off,mbedtls_ssl_tls13_crypto_init,10,2
api_off,mbedtls_ssl_tls13_handshake_wrapup,10,2
api_off,ssl_tls13_parse_new_session_ticket_exts,9,9
api_off,x509_get_basic_constraints,9,3
api_off,mbedtls_oid_get_x509_ext_type,9,1
api_off,mbedtls_ecp_get_type,8,1
api_off,mbedtls_ecp_point_init,8,2
api_off,psa_crypto_init,8,2
api_off,mbedtls_ecdh_free,8,4
api_off,mbedtls_mpi_shift_r,7,1
api_off,do_handshake,6,2
api_off,mbedtls_ssl_read,6,6
api_off,mbedtls_ssl_print_ticket_flags,6,2
api_off,mbedtls_ssl_session_save,6,2
api_off,mbedtls_ssl_handshake,6,2
api_off,mbedtls_ssl_write_alpn_ext,6,2
api_off,mbedtls_x509_crt_free,6,2
api_off,mbedtls_ecp_gen_privkey,6,1
api_off,ecp_sw_rhs,6,2
api_off,mbedtls_pk_ecc_set_group,6,2
api_off,mbedtls_pk_ecc_set_pubkey,6,2
api_off,pk_use_ecparams,6,2
api_off,psa_generate_key,6,1
api_off,mbedtls_ssl_validate_ciphersuite,3,1
api_off,mbedtls_ssl_states_str,3,1
api_off,mbedtls_oid_get_pk_alg,3,1
api_off,mbedtls_oid_get_ec_grp,3,1
api_off,mbedtls_ecp_is_zero,1,1
null_blanket,__memcpy_generic,12,4
null_blanket,free,2,2
null_bracket,mbedtls_mpi_core_mla,7157084,55
null_bracket,mbedtls_mpi_core_sub,6697906,10
null_bracket,mbedtls_mpi_cmp_mpi,3681881,29
null_bracket,mbedtls_mpi_sub_abs,3097179,64
null_bracket,__memset_zva64,1972119,37
null_bracket,mbedtls_mpi_core_sub_int,1425032,6
null_bracket,mbedtls_mpi_core_cond_swap,1327371,16
null_bracket,mbedtls_internal_sha256_process,1166176,542
null_bracket,calloc,1053503,38
null_bracket,mbedtls_mpi_core_mul,971787,18
null_bracket,__memcpy_generic,930024,58
null_bracket,mbedtls_mpi_copy,924421,34
null_bracket,mbedtls_mpi_mul_mpi,799928,47
null_bracket,add_sub_mpi,712944,32
null_bracket,free,689114,23
null_bracket,mbedtls_mpi_core_add,585040,10
null_bracket,mbedtls_mpi_safe_cond_swap,357112,49
null_bracket,mbedtls_mpi_add_abs,325597,53
null_bracket,mbedtls_mpi_core_bitlen,322240,10
null_bracket,ecp_mod_p255,311720,14
null_bracket,mbedtls_mpi_core_shift_r,298638,27
null_bracket,mbedtls_mpi_cmp_int,95527,15
null_bracket,mbedtls_mpi_gcd,95058,82
null_bracket,mbedtls_mpi_bitlen,76779,3
null_bracket,mbedtls_mpi_mul_mod,75797,4
null_bracket,mbedtls_zeroize_and_free,62900,4
