scenario,config,gap,cycles,insts,predictions,load_predictions,behind_clear,behind_clear_retired,in_sequence,leak_entry,behind_set_squashed,behind_clear_squashed_younger,behind_clear_squashed_samepath,rename_serializing,dit_tagged_set,branch_mispredicts,value_mispredicts,claim_violations,clears_committed,clears_reg_committed,early_published,early_lead_cycles,held_branch,held_valuepred,checksum
arch,frontier-reg,0,1547.0,3297.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3718.0,5.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,1456
arch,frontier-reg,6,1607.0,4065.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3714.0,5.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,1456
arch,frontier-reg,12,2042.0,4833.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3520.0,3.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,1456
arch,frontier-reg,24,2298.0,6369.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3520.0,3.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,1456
arch,frontier-reg,48,3071.0,9441.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,5.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,1456
arch,frontier-reg,96,4620.0,15585.0,1121.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,5.0,1.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,1456
arch,frontier-reg,192,7668.0,27873.0,1255.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,1456
arch,commit,0,1609.0,3169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3716.0,5.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,commit,6,1609.0,3937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3713.0,5.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,commit,12,1755.0,4705.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3712.0,7.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
