# provenance: run 2026-09-06 on aarch64 Linux (beckham), native static build; gem5-DIT ce05d32089; clang from llvm-data-independent-timing c733b86567bb (/home/rgangar/.treehouse/llvm-data-independent-timing-7b712d/7/llvm-data-independent-timing/build); gem5.fast built 2026-09-06 13:36 ; WORK=/home/rgangar/Documents/signed_lookup-gem5-20260906
# CANONICAL lane: the cycles behind every median, one row per (cell, stack offset). offset k lengthens argv[0] by k bytes; gem5 SE puts argv[0] on the initial stack, so this is the layout lottery the medians average over.
L,pred_q4,arm,switch,nosecret,offset,argv0_extra_bytes,cycles,insts
200,3,nodit,renamed,0,0,0,7396271,9758700
200,3,nodit,renamed,0,1,1,7311873,9758700
200,3,nodit,renamed,0,2,2,7367099,9758700
200,3,nodit,renamed,0,3,3,7330865,9758700
200,3,nodit,renamed,0,4,4,7324395,9758700
200,3,nodit,renamed,1,0,0,4026184,3630950
200,3,nodit,renamed,1,1,1,4023061,3630950
200,3,nodit,renamed,1,2,2,4022742,3630950
200,3,nodit,renamed,1,3,3,4023174,3630950
200,3,nodit,renamed,1,4,4,4021278,3630950
200,3,nodit,serialising,0,0,0,7392104,9758700
200,3,nodit,serialising,0,1,1,7311873,9758700
200,3,nodit,serialising,0,2,2,7367099,9758700
200,3,nodit,serialising,0,3,3,7330865,9758700
200,3,nodit,serialising,0,4,4,7324395,9758700
200,3,blanket,renamed,0,0,0,8768118,9758700
200,3,blanket,renamed,0,1,1,8784700,9758700
200,3,blanket,renamed,0,2,2,8747966,9758700
200,3,blanket,renamed,0,3,3,8722742,9758700
200,3,blanket,renamed,0,4,4,8777357,9758700
200,3,blanket,renamed,1,0,0,5320051,3630950
200,3,blanket,renamed,1,1,1,5320051,3630950
200,3,blanket,renamed,1,2,2,5320051,3630950
200,3,blanket,renamed,1,3,3,5320051,3630950
200,3,blanket,renamed,1,4,4,5320051,3630950
200,3,pass,renamed,0,0,0,7483950,9876810
200,3,pass,renamed,0,1,1,7358250,9876810
200,3,pass,renamed,0,2,2,7411327,9876810
200,3,pass,renamed,0,3,3,7377722,9876810
200,3,pass,renamed,0,4,4,7374497,9876810
200,3,pass,serialising,0,0,0,8231641,9876810
200,3,pass,serialising,0,1,1,8236792,9876810
200,3,pass,serialising,0,2,2,8209385,9876810
200,3,pass,serialising,0,3,3,8216973,9876810
200,3,pass,serialising,0,4,4,8224708,9876810
1000,3,api,renamed,0,0,0,13115975,12665700
1000,3,api,renamed,0,1,1,13117005,12665700
1000,3,api,renamed,0,2,2,13054756,12665700
1000,3,api,renamed,0,3,3,13114038,12665700
1000,3,api,renamed,0,4,4,13070265,12665700
1000,3,api,serialising,0,0,0,13107822,12665700
1000,3,api,serialising,0,1,1,13120495,12665700
1000,3,api,serialising,0,2,2,13099785,12665700
1000,3,api,serialising,0,3,3,13081782,12665700
1000,3,api,serialising,0,4,4,13060722,12665700
1000,3,apinop,renamed,0,0,0,13106132,12665700
1000,3,apinop,renamed,0,1,1,13095211,12665700
1000,3,apinop,renamed,0,2,2,13107091,12665700
1000,3,apinop,renamed,0,3,3,13100555,12665700
1000,3,apinop,renamed,0,4,4,13134039,12665700
1000,3,nodit,renamed,0,0,0,13110818,12652300
1000,3,nodit,renamed,0,1,1,13059964,12652300
1000,3,nodit,renamed,0,2,2,13102684,12652300
1000,3,nodit,renamed,0,3,3,13109433,12652300
1000,3,nodit,renamed,0,4,4,13081339,12652300
1000,3,nodit,renamed,1,0,0,11284092,9419550
1000,3,nodit,renamed,1,1,1,11352660,9419550
1000,3,nodit,renamed,1,2,2,11282815,9419550
1000,3,nodit,renamed,1,3,3,11353811,9419550
1000,3,nodit,renamed,1,4,4,11339530,9419550
1000,3,nodit,serialising,0,0,0,13110818,12652300
1000,3,nodit,serialising,0,1,1,13059964,12652300
1000,3,nodit,serialising,0,2,2,13102684,12652300
1000,3,nodit,serialising,0,3,3,13109433,12652300
1000,3,nodit,serialising,0,4,4,13081339,12652300
1000,3,blanket,renamed,0,0,0,16654157,12652300
1000,3,blanket,renamed,0,1,1,16672491,12652300
1000,3,blanket,renamed,0,2,2,16663532,12652300
1000,3,blanket,renamed,0,3,3,16671109,12652300
1000,3,blanket,renamed,0,4,4,16646637,12652300
1000,3,blanket,renamed,1,0,0,14865324,9419550
1000,3,blanket,renamed,1,1,1,14865324,9419550
1000,3,blanket,renamed,1,2,2,14865324,9419550
1000,3,blanket,renamed,1,3,3,14865324,9419550
1000,3,blanket,renamed,1,4,4,14865324,9419550
1000,3,pass,renamed,0,0,0,13153092,12714610
1000,3,pass,renamed,0,1,1,13074916,12714610
1000,3,pass,renamed,0,2,2,13110429,12714610
1000,3,pass,renamed,0,3,3,13106130,12714610
1000,3,pass,renamed,0,4,4,13050893,12714610
1000,3,pass,serialising,0,0,0,13540777,12714610
1000,3,pass,serialising,0,1,1,13553842,12714610
1000,3,pass,serialising,0,2,2,13594051,12714610
1000,3,pass,serialising,0,3,3,13504406,12714610
1000,3,pass,serialising,0,4,4,13555416,12714610
5000,3,api,renamed,0,0,0,17651482,14980820
5000,3,api,renamed,0,1,1,17604570,14980820
5000,3,api,renamed,0,2,2,17632135,14980820
5000,3,api,renamed,0,3,3,17621751,14980820
5000,3,api,renamed,0,4,4,17653139,14980820
5000,3,api,serialising,0,0,0,17629666,14980820
5000,3,api,serialising,0,1,1,17642905,14980820
5000,3,api,serialising,0,2,2,17616367,14980820
5000,3,api,serialising,0,3,3,17679510,14980820
5000,3,api,serialising,0,4,4,17685251,14980820
5000,3,apinop,renamed,0,0,0,17648308,14980820
5000,3,apinop,renamed,0,1,1,17684072,14980820
5000,3,apinop,renamed,0,2,2,17651245,14980820
5000,3,apinop,renamed,0,3,3,17711298,14980820
5000,3,apinop,renamed,0,4,4,17609832,14980820
5000,3,nodit,renamed,0,0,0,17706441,14976820
5000,3,nodit,renamed,0,1,1,17638712,14976820
5000,3,nodit,renamed,0,2,2,17615777,14976820
5000,3,nodit,renamed,0,3,3,17632297,14976820
5000,3,nodit,renamed,0,4,4,17588432,14976820
5000,3,nodit,renamed,1,0,0,17186299,14011820
5000,3,nodit,renamed,1,1,1,17161822,14011820
5000,3,nodit,renamed,1,2,2,17134844,14011820
5000,3,nodit,renamed,1,3,3,17161576,14011820
5000,3,nodit,renamed,1,4,4,17187234,14011820
5000,3,nodit,serialising,0,0,0,17706441,14976820
5000,3,nodit,serialising,0,1,1,17638712,14976820
5000,3,nodit,serialising,0,2,2,17615777,14976820
5000,3,nodit,serialising,0,3,3,17632297,14976820
5000,3,nodit,serialising,0,4,4,17588432,14976820
5000,3,blanket,renamed,0,0,0,22966160,14976820
5000,3,blanket,renamed,0,1,1,22966276,14976820
5000,3,blanket,renamed,0,2,2,22966331,14976820
5000,3,blanket,renamed,0,3,3,22966511,14976820
5000,3,blanket,renamed,0,4,4,22965514,14976820
5000,3,blanket,renamed,1,0,0,22437236,14011820
5000,3,blanket,renamed,1,1,1,22437236,14011820
5000,3,blanket,renamed,1,2,2,22437236,14011820
5000,3,blanket,renamed,1,3,3,22437236,14011820
5000,3,blanket,renamed,1,4,4,22437236,14011820
5000,3,pass,renamed,0,0,0,17637897,14995420
5000,3,pass,renamed,0,1,1,17680663,14995420
5000,3,pass,renamed,0,2,2,17676865,14995420
5000,3,pass,renamed,0,3,3,17614622,14995420
5000,3,pass,renamed,0,4,4,17702441,14995420
5000,3,pass,serialising,0,0,0,17789254,14995420
5000,3,pass,serialising,0,1,1,17818625,14995420
5000,3,pass,serialising,0,2,2,17790824,14995420
5000,3,pass,serialising,0,3,3,17729217,14995420
5000,3,pass,serialising,0,4,4,17817607,14995420
20000,3,api,renamed,0,0,0,18955581,15669740
20000,3,api,renamed,0,1,1,18999580,15669740
20000,3,api,renamed,0,2,2,18975935,15669740
20000,3,api,renamed,0,3,3,19012209,15669740
20000,3,api,renamed,0,4,4,19026495,15669740
20000,3,api,serialising,0,0,0,19024714,15669740
20000,3,api,serialising,0,1,1,19054482,15669740
20000,3,api,serialising,0,2,2,18978662,15669740
20000,3,api,serialising,0,3,3,18982927,15669740
20000,3,api,serialising,0,4,4,19015733,15669740
20000,3,apinop,renamed,0,0,0,19070045,15669740
20000,3,apinop,renamed,0,1,1,19016404,15669740
20000,3,apinop,renamed,0,2,2,19054135,15669740
20000,3,apinop,renamed,0,3,3,19037284,15669740
20000,3,apinop,renamed,0,4,4,19050097,15669740
20000,3,nodit,renamed,0,0,0,18982153,15668640
