rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
7,pass_clonegated,3.338666,0.315113,9.4383,10527241102943389473,0.2197,0.8707
7,baseline2,3.288894,0.294319,8.9489,10527241102943389473,0.2197,0.8707
7,baseline,3.173134,0.291121,9.1746,10527241102943389473,0.2197,0.8707
8,always,3.246817,0.308516,9.5021,10527241102943389473,0.2224,0.8707
8,oracle,3.224971,0.307974,9.5497,10527241102943389473,0.2224,0.8707
8,pass_hoist,3.507260,0.419378,11.9574,10527241102943389473,0.2224,0.8707
8,pass_clone,3.358726,0.318524,9.4835,10527241102943389473,0.2224,0.8707
8,pass_gated,3.430881,0.354352,10.3283,10527241102943389473,0.2224,0.8707
8,pass_clonegated,3.331737,0.314653,9.4441,10527241102943389473,0.2224,0.8707
8,baseline2,3.177764,0.289167,9.0997,10527241102943389473,0.2224,0.8707
8,baseline,3.174871,0.288529,9.0879,10527241102943389473,0.2224,0.8707
8,null,3.161706,0.288856,9.1361,10527241102943389473,0.2224,0.8707
9,oracle,3.214318,0.309248,9.6209,10527241102943389473,0.2220,0.8714
9,pass_hoist,3.530147,0.420512,11.9120,10527241102943389473,0.2220,0.8714
9,pass_clone,3.344625,0.318236,9.5148,10527241102943389473,0.2220,0.8714
9,pass_gated,3.451468,0.354662,10.2757,10527241102943389473,0.2220,0.8714
9,pass_clonegated,3.330834,0.315372,9.4683,10527241102943389473,0.2220,0.8714
9,baseline2,3.178467,0.288684,9.0825,10527241102943389473,0.2220,0.8714
9,baseline,3.159360,0.289187,9.1533,10527241102943389473,0.2220,0.8714
9,null,3.166635,0.288821,9.1208,10527241102943389473,0.2220,0.8714
9,always,3.253509,0.309594,9.5157,10527241102943389473,0.2220,0.8714
10,pass_hoist,3.511572,0.419802,11.9548,10527241102943389473,0.2206,0.8703
10,pass_clone,3.322783,0.317687,9.5609,10527241102943389473,0.2206,0.8703
10,pass_gated,3.458253,0.354538,10.2519,10527241102943389473,0.2206,0.8703
10,pass_clonegated,3.362105,0.314828,9.3640,10527241102943389473,0.2206,0.8703
10,baseline2,3.177132,0.289511,9.1123,10527241102943389473,0.2206,0.8703
10,baseline,3.186031,0.289397,9.0833,10527241102943389473,0.2206,0.8703
10,null,3.169816,0.288872,9.1132,10527241102943389473,0.2206,0.8703
10,always,3.266887,0.309847,9.4845,10527241102943389473,0.2206,0.8703
10,oracle,3.221362,0.307484,9.5452,10527241102943389473,0.2206,0.8703
11,pass_clone,3.340714,0.317758,9.5117,10527241102943389473,0.2253,0.8705
11,pass_gated,3.454699,0.355033,10.2768,10527241102943389473,0.2253,0.8705
11,pass_clonegated,3.339332,0.315309,9.4423,10527241102943389473,0.2253,0.8705
11,baseline2,3.179448,0.288925,9.0873,10527241102943389473,0.2253,0.8705
11,baseline,3.173328,0.289207,9.1137,10527241102943389473,0.2253,0.8705
11,null,3.167790,0.289198,9.1293,10527241102943389473,0.2253,0.8705
11,always,3.231319,0.309871,9.5896,10527241102943389473,0.2253,0.8705
11,oracle,3.218572,0.307553,9.5556,10527241102943389473,0.2253,0.8705
11,pass_hoist,3.539945,0.420852,11.8887,10527241102943389473,0.2253,0.8705
12,pass_gated,3.448328,0.355185,10.3002,10527241102943389473,0.2208,0.8713
12,pass_clonegated,3.362020,0.315186,9.3749,10527241102943389473,0.2208,0.8713
12,baseline2,3.171808,0.289512,9.1277,10527241102943389473,0.2208,0.8713
12,baseline,3.159258,0.287996,9.1159,10527241102943389473,0.2208,0.8713
12,null,3.171659,0.288843,9.1070,10527241102943389473,0.2208,0.8713
12,always,3.264611,0.309824,9.4904,10527241102943389473,0.2208,0.8713
12,oracle,3.228068,0.307751,9.5336,10527241102943389473,0.2208,0.8713
12,pass_hoist,3.514998,0.420893,11.9742,10527241102943389473,0.2208,0.8713
