benchmark,arm,archive,rep,mean_ticks,n,dit_exit,cycle_src,timer_src,tot_cyc,tot_ins,map_stall,flush,reg_cyc,reg_ins,reg_n,samp_cyc,samp_ins,samp_n,samp_every,pmc_off,reg_drop,pinned
ed25519,Z,taintnop,7,8072.157,1000,0,pmc,cntvct,0,0,0,0,8272048,0,1025,554405,2399824,16,64,1,0,9
ed25519,C,base,8,8117.410,1000,1,pmc,cntvct,0,0,0,0,8320412,0,1025,559491,2403426,16,64,1,0,9
ed25519,B,base,8,8114.015,1000,0,pmc,cntvct,0,0,0,0,8318483,0,1025,556616,2397920,16,64,1,0,9
ed25519,T,base,8,8013.207,1000,0,pmc,cntvct,0,0,0,0,8216682,0,1025,548998,2397920,16,64,1,0,9
ed25519,P,taint,8,8094.051,1000,0,pmc,cntvct,0,0,0,0,8296256,0,1025,559312,2399728,16,64,1,0,9
ed25519,Z,taintnop,8,8079.629,1000,0,pmc,cntvct,0,0,0,0,8277502,0,1025,553311,2399824,16,64,1,0,9
ed25519,A,base,8,8012.334,1000,0,pmc,cntvct,0,0,0,0,8218058,0,1025,549626,2397760,16,64,1,0,9
ed25519,B,base,9,8128.443,1000,0,pmc,cntvct,0,0,0,0,8338779,0,1025,556567,2397920,16,64,1,0,9
ed25519,T,base,9,8019.117,1000,0,pmc,cntvct,0,0,0,0,8217806,0,1025,548178,2397920,16,64,1,0,9
ed25519,P,taint,9,8096.693,1000,0,pmc,cntvct,0,0,0,0,8299032,0,1025,560083,2399728,16,64,1,0,9
ed25519,Z,taintnop,9,8094.254,1000,0,pmc,cntvct,0,0,0,0,8295670,0,1025,554269,2399824,16,64,1,0,9
ed25519,A,base,9,8038.896,1000,0,pmc,cntvct,0,0,0,0,8240628,0,1025,549648,2397760,16,64,1,0,9
ed25519,C,base,9,8123.951,1000,1,pmc,cntvct,0,0,0,0,8331765,0,1025,555133,2397760,16,64,1,0,9
ed25519,T,base,10,8019.290,1000,0,pmc,cntvct,0,0,0,0,8225211,0,1025,548897,2397920,16,64,1,0,9
ed25519,P,taint,10,8097.344,1000,0,pmc,cntvct,0,0,0,0,8300108,0,1025,559774,2399728,16,64,1,0,9
ed25519,Z,taintnop,10,8089.234,1000,0,pmc,cntvct,0,0,0,0,8289385,0,1025,553681,2399824,16,64,1,0,9
ed25519,A,base,10,8015.832,1000,0,pmc,cntvct,0,0,0,0,8216978,0,1025,549694,2397760,16,64,1,0,9
ed25519,C,base,10,8102.139,1000,1,pmc,cntvct,0,0,0,0,8305474,0,1025,555055,2397760,16,64,1,0,9
ed25519,B,base,10,8154.482,1000,0,pmc,cntvct,0,0,0,0,8358298,0,1025,557983,2397920,16,64,1,0,9
ed25519,P,taint,11,8097.443,1000,0,pmc,cntvct,0,0,0,0,8298988,0,1025,560172,2399728,16,64,1,0,9
ed25519,Z,taintnop,11,8089.162,1000,0,pmc,cntvct,0,0,0,0,8287491,0,1025,554029,2399824,16,64,1,0,9
ed25519,A,base,11,8045.738,1000,0,pmc,cntvct,0,0,0,0,8245617,0,1025,549505,2397760,16,64,1,0,9
ed25519,C,base,11,8091.884,1000,1,pmc,cntvct,0,0,0,0,8297187,0,1025,554318,2397760,16,64,1,0,9
ed25519,B,base,11,8145.671,1000,0,pmc,cntvct,0,0,0,0,8349775,0,1025,557097,2397920,16,64,1,0,9
ed25519,T,base,11,8029.836,1000,0,pmc,cntvct,0,0,0,0,8230860,0,1025,548644,2397920,16,64,1,0,9
ed25519,Z,taintnop,12,8122.564,1000,0,pmc,cntvct,0,0,0,0,8323252,0,1025,554458,2399824,16,64,1,0,9
ed25519,A,base,12,8042.374,1000,0,pmc,cntvct,0,0,0,0,8244280,0,1025,548972,2397760,16,64,1,0,9
ed25519,C,base,12,8263.974,1000,1,pmc,cntvct,0,0,0,0,8466842,0,1025,555033,2397760,16,64,1,0,9
ed25519,B,base,12,8240.007,1000,0,pmc,cntvct,0,0,0,0,8448471,0,1025,556977,2397920,16,64,1,0,9
ed25519,T,base,12,8381.532,1000,0,pmc,cntvct,0,0,0,0,8594658,0,1025,548232,2397920,16,64,1,0,9
ed25519,P,taint,12,8168.879,1000,0,pmc,cntvct,0,0,0,0,8368966,0,1025,558861,2399728,16,64,1,0,9
ed25519,A,base,13,8205.062,1000,0,pmc,cntvct,0,0,0,0,8415802,0,1025,549648,2397760,16,64,1,0,9
ed25519,C,base,13,8152.454,1000,1,pmc,cntvct,0,0,0,0,8354198,0,1025,554097,2397760,16,64,1,0,9
ed25519,B,base,13,8163.151,1000,0,pmc,cntvct,0,0,0,0,8367335,0,1025,557291,2397920,16,64,1,0,9
ed25519,T,base,13,8051.638,1000,0,pmc,cntvct,0,0,0,0,8252868,0,1025,548268,2397920,16,64,1,0,9
ed25519,P,taint,13,8128.288,1000,0,pmc,cntvct,0,0,0,0,8330264,0,1025,559330,2399728,16,64,1,0,9
ed25519,Z,taintnop,13,8123.885,1000,0,pmc,cntvct,0,0,0,0,8322422,0,1025,553230,2399824,16,64,1,0,9
ed25519,C,base,14,8133.119,1000,1,pmc,cntvct,0,0,0,0,8336864,0,1025,554534,2397760,16,64,1,0,9
ed25519,B,base,14,8186.638,1000,0,pmc,cntvct,0,0,0,0,8393138,0,1025,556348,2397920,16,64,1,0,9
ed25519,T,base,14,8039.039,1000,0,pmc,cntvct,0,0,0,0,8238226,0,1025,548688,2397920,16,64,1,0,9
ed25519,P,taint,14,8131.567,1000,0,pmc,cntvct,0,0,0,0,8334295,0,1025,560365,2399728,16,64,1,0,9
ed25519,Z,taintnop,14,8124.497,1000,0,pmc,cntvct,0,0,0,0,8323706,0,1025,553436,2399824,16,64,1,0,9
ed25519,A,base,14,8059.245,1000,0,pmc,cntvct,0,0,0,0,8260706,0,1025,549847,2397760,16,64,1,0,9
ed25519,B,base,15,8174.646,1000,0,pmc,cntvct,0,0,0,0,8378268,0,1025,557786,2397920,16,64,1,0,9
ed25519,T,base,15,8054.407,1000,0,pmc,cntvct,0,0,0,0,8254492,0,1025,549494,2397920,16,64,1,0,9
ed25519,P,taint,15,8138.447,1000,0,pmc,cntvct,0,0,0,0,8343274,0,1025,559852,2399728,16,64,1,0,9
