benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,Const,A,base,1,226,
ditprobe,Perm,A,base,1,681,
ditprobe,CoreMHz,A,base,1,4414,
ditprobe,DitBit,A,base,1,0,
ditprobe,Const,C,base,1,680,
ditprobe,Perm,C,base,1,680,
ditprobe,CoreMHz,C,base,1,4416,
ditprobe,DitBit,C,base,1,1,
ditprobe,Const,P,taint,1,227,
ditprobe,Perm,P,taint,1,679,
ditprobe,CoreMHz,P,taint,1,4396,
ditprobe,DitBit,P,taint,1,0,
ditprobe,Const,Z,taintnop,1,226,
ditprobe,Perm,Z,taintnop,1,680,
ditprobe,CoreMHz,Z,taintnop,1,4397,
ditprobe,DitBit,Z,taintnop,1,0,
ditprobe,Const,C,base,2,680,
ditprobe,Perm,C,base,2,680,
ditprobe,CoreMHz,C,base,2,4416,
ditprobe,DitBit,C,base,2,1,
ditprobe,Const,P,taint,2,226,
ditprobe,Perm,P,taint,2,680,
ditprobe,CoreMHz,P,taint,2,4397,
ditprobe,DitBit,P,taint,2,0,
ditprobe,Const,Z,taintnop,2,226,
ditprobe,Perm,Z,taintnop,2,681,
ditprobe,CoreMHz,Z,taintnop,2,4415,
ditprobe,DitBit,Z,taintnop,2,0,
ditprobe,Const,A,base,2,226,
ditprobe,Perm,A,base,2,681,
ditprobe,CoreMHz,A,base,2,4414,
ditprobe,DitBit,A,base,2,0,
ditprobe,Const,P,taint,3,226,
ditprobe,Perm,P,taint,3,681,
ditprobe,CoreMHz,P,taint,3,4415,
ditprobe,DitBit,P,taint,3,0,
ditprobe,Const,Z,taintnop,3,226,
ditprobe,Perm,Z,taintnop,3,680,
ditprobe,CoreMHz,Z,taintnop,3,4415,
ditprobe,DitBit,Z,taintnop,3,0,
ditprobe,Const,A,base,3,226,
ditprobe,Perm,A,base,3,681,
ditprobe,CoreMHz,A,base,3,4415,
ditprobe,DitBit,A,base,3,0,
ditprobe,Const,C,base,3,680,
ditprobe,Perm,C,base,3,680,
ditprobe,CoreMHz,C,base,3,4398,
ditprobe,DitBit,C,base,3,1,
ditprobe,Const,P,taint,4,226,
ditprobe,Perm,P,taint,4,680,
ditprobe,CoreMHz,P,taint,4,4397,
ditprobe,DitBit,P,taint,4,0,
ditprobe,Const,Z,taintnop,4,226,
ditprobe,Perm,Z,taintnop,4,680,
ditprobe,CoreMHz,Z,taintnop,4,4397,
ditprobe,DitBit,Z,taintnop,4,0,
ditprobe,Const,A,base,4,226,
ditprobe,Perm,A,base,4,680,
ditprobe,CoreMHz,A,base,4,4397,
ditprobe,DitBit,A,base,4,0,
ditprobe,Const,C,base,4,680,
ditprobe,Perm,C,base,4,681,
ditprobe,CoreMHz,C,base,4,4416,
ditprobe,DitBit,C,base,4,1,
ditprobe,Const,P,taint,5,227,
ditprobe,Perm,P,taint,5,681,
ditprobe,CoreMHz,P,taint,5,4414,
ditprobe,DitBit,P,taint,5,0,
ditprobe,Const,Z,taintnop,5,227,
ditprobe,Perm,Z,taintnop,5,680,
ditprobe,CoreMHz,Z,taintnop,5,4414,
ditprobe,DitBit,Z,taintnop,5,0,
ditprobe,Const,A,base,5,227,
ditprobe,Perm,A,base,5,681,
ditprobe,CoreMHz,A,base,5,4414,
ditprobe,DitBit,A,base,5,0,
ditprobe,Const,C,base,5,680,
ditprobe,Perm,C,base,5,680,
ditprobe,CoreMHz,C,base,5,4416,
ditprobe,DitBit,C,base,5,1,
