n,row,A_cycles_per_op,C_pct,B_pct,Bs_pct,H_pct,Hs_pct,MAD_pct
60,"AEAD-AES-128-GCM seal [1350 B]",718.0,-0.47,21.64,21.54,2.12,11.81,0.044
61,"EVP-AES-128-CBC encrypt [1350 B]",1926.8,0.04,21.87,23.02,0.50,11.77,0.024
62,"EVP-AES-128-GCM decrypt [8192 B]",2923.0,-0.17,18.62,21.78,0.77,11.55,0.031
63,"EVP-AES-128-GCM encrypt [8192 B]",2973.8,-0.05,17.92,20.78,0.52,10.86,0.124
64,"AEAD-AES-128-GCM-SIV open [1350 B]",1801.6,0.19,11.57,14.81,-0.10,10.75,0.093
65,"AEAD-AES-128-CBC-SHA1 open [256 B]",2891.5,0.01,4.71,13.19,0.07,10.59,0.320
66,"EVP-AES-128-CTR encrypt [8192 B]",1945.0,-0.05,16.66,20.81,0.40,9.90,0.048
67,"EVP-AES-128-CBC decrypt [16384 B]",3315.5,-0.02,9.21,15.62,-0.65,9.44,0.081
68,"AEAD-ChaCha20-Poly1305 seal [256 B]",896.8,-0.07,13.41,16.50,-0.09,8.53,0.154
69,"AEAD-AES-128-CBC-SHA1 open [1350 B]",4469.9,0.11,3.28,8.77,0.19,6.96,0.138
70,"EVP-AES-128-GCM decrypt [16384 B]",5687.2,-0.08,9.54,11.26,0.38,5.99,0.037
71,"EVP-AES-128-GCM encrypt [16384 B]",5764.6,-0.01,9.47,10.97,0.55,5.82,0.035
72,"EVP-AES-128-CTR decrypt [16384 B]",3857.3,0.00,8.36,10.98,0.22,5.73,0.028
73,"AEAD-AES-128-GCM open [8192 B]",2975.5,-0.02,5.49,7.93,1.32,5.26,0.036
geomean_all,"geometric mean of arm/A over the rows above, all cells",,-0.90,95.48,115.85,2.48,67.83,
geomean_clean,"geometric mean of arm/A over the rows above, suspect cells left out",,-0.09,93.96,113.62,2.78,66.65,
