rep,arm,dit,ns,checksum
10,inv_small,0,21896375,17835747444216045878
10,inv_small,1,21620416,17835747444216045878
10,inv_wide,0,21614417,716175243468652111
10,inv_wide,1,21618125,716175243468652111
10,chase_const,0,4340833,2048
10,chase_const,1,17435750,2048
10,chase_perm,0,17425500,665
10,chase_perm,1,17404708,665
11,inv,0,21723167,8584613699922148283
11,inv,1,21765000,8584613699922148283
11,inv_var,0,15225833,8584613699922148283
11,inv_var,1,15326709,8584613699922148283
11,mul,0,10231917,5227797977677173691
11,mul,1,10278083,5227797977677173691
11,inv_small,0,21613458,17835747444216045878
11,inv_small,1,21623334,17835747444216045878
11,inv_wide,0,21614583,716175243468652111
11,inv_wide,1,21746792,716175243468652111
11,chase_const,0,4373000,2048
11,chase_const,1,17412333,2048
11,chase_perm,0,17407167,665
11,chase_perm,1,17403125,665
12,inv,0,21769209,8584613699922148283
12,inv,1,21797417,8584613699922148283
12,inv_var,0,15265083,8584613699922148283
12,inv_var,1,15296625,8584613699922148283
12,mul,0,10238000,5227797977677173691
12,mul,1,10282292,5227797977677173691
12,inv_small,0,21623791,17835747444216045878
12,inv_small,1,21602333,17835747444216045878
12,inv_wide,0,21603916,716175243468652111
12,inv_wide,1,21667875,716175243468652111
12,chase_const,0,4378875,2048
12,chase_const,1,17407083,2048
12,chase_perm,0,17413750,665
12,chase_perm,1,17419792,665
13,inv,0,21742459,8584613699922148283
13,inv,1,21788792,8584613699922148283
13,inv_var,0,15256583,8584613699922148283
13,inv_var,1,15297333,8584613699922148283
13,mul,0,10242166,5227797977677173691
13,mul,1,10298750,5227797977677173691
13,inv_small,0,21635167,17835747444216045878
13,inv_small,1,21615834,17835747444216045878
13,inv_wide,0,21614084,716175243468652111
13,inv_wide,1,21654709,716175243468652111
13,chase_const,0,4343625,2048
13,chase_const,1,17405916,2048
13,chase_perm,0,17381292,665
13,chase_perm,1,17393584,665
14,inv,0,21705833,8584613699922148283
14,inv,1,21776166,8584613699922148283
14,inv_var,0,15240875,8584613699922148283
14,inv_var,1,15273416,8584613699922148283
14,mul,0,10208250,5227797977677173691
14,mul,1,10264542,5227797977677173691
14,inv_small,0,21632916,17835747444216045878
14,inv_small,1,21638083,17835747444216045878
14,inv_wide,0,21623959,716175243468652111
14,inv_wide,1,21778292,716175243468652111
14,chase_const,0,4343375,2048
14,chase_const,1,17394917,2048
14,chase_perm,0,17400959,665
14,chase_perm,1,17400958,665
15,inv,0,21757458,8584613699922148283
15,inv,1,21801000,8584613699922148283
15,inv_var,0,15248084,8584613699922148283
15,inv_var,1,15303208,8584613699922148283
15,mul,0,10215833,5227797977677173691
15,mul,1,10279958,5227797977677173691
15,inv_small,0,21633042,17835747444216045878
15,inv_small,1,21639125,17835747444216045878
15,inv_wide,0,21629250,716175243468652111
15,inv_wide,1,21603375,716175243468652111
15,chase_const,0,4365167,2048
15,chase_const,1,17398042,2048
15,chase_perm,0,17546833,665
15,chase_perm,1,17437292,665
16,inv,0,21715666,8584613699922148283
16,inv,1,21766333,8584613699922148283
16,inv_var,0,15249292,8584613699922148283
16,inv_var,1,15308542,8584613699922148283
16,mul,0,10265584,5227797977677173691
16,mul,1,10295917,5227797977677173691
16,inv_small,0,21627250,17835747444216045878
16,inv_small,1,21620791,17835747444216045878
16,inv_wide,0,21615791,716175243468652111
16,inv_wide,1,21601792,716175243468652111
16,chase_const,0,4355625,2048
16,chase_const,1,17415250,2048
16,chase_perm,0,17402375,665
16,chase_perm,1,17467458,665
17,inv,0,21786875,8584613699922148283
17,inv,1,21816125,8584613699922148283
17,inv_var,0,15272583,8584613699922148283
17,inv_var,1,15313041,8584613699922148283
17,mul,0,10241625,5227797977677173691
17,mul,1,10362959,5227797977677173691
17,inv_small,0,21649209,17835747444216045878
17,inv_small,1,21645833,17835747444216045878
17,inv_wide,0,21662125,716175243468652111
17,inv_wide,1,21635167,716175243468652111
17,chase_const,0,4343375,2048
17,chase_const,1,17412833,2048
17,chase_perm,0,17428000,665
17,chase_perm,1,17459667,665
18,inv,0,21789084,8584613699922148283
18,inv,1,21798334,8584613699922148283
18,inv_var,0,15245458,8584613699922148283
18,inv_var,1,15266917,8584613699922148283
18,mul,0,10209083,5227797977677173691
18,mul,1,10284459,5227797977677173691
18,inv_small,0,21613833,17835747444216045878
18,inv_small,1,21586250,17835747444216045878
18,inv_wide,0,21612042,716175243468652111
18,inv_wide,1,21571583,716175243468652111
18,chase_const,0,4340500,2048
18,chase_const,1,17400958,2048
18,chase_perm,0,17571625,665
18,chase_perm,1,17400041,665
19,inv,0,21737541,8584613699922148283
19,inv,1,21778292,8584613699922148283
19,inv_var,0,15252166,8584613699922148283
19,inv_var,1,15288833,8584613699922148283
19,mul,0,10238625,5227797977677173691
19,mul,1,10296166,5227797977677173691
19,inv_small,0,21624042,17835747444216045878
19,inv_small,1,21605125,17835747444216045878
19,inv_wide,0,21636333,716175243468652111
19,inv_wide,1,21595625,716175243468652111
19,chase_const,0,4358250,2048
19,chase_const,1,17449708,2048
19,chase_perm,0,17392125,665
19,chase_perm,1,17406042,665
20,inv,0,21747084,8584613699922148283
20,inv,1,21939084,8584613699922148283
20,inv_var,0,15276083,8584613699922148283
20,inv_var,1,15273541,8584613699922148283
20,mul,0,10220083,5227797977677173691
20,mul,1,10349125,5227797977677173691
20,inv_small,0,21683625,17835747444216045878
20,inv_small,1,21636917,17835747444216045878
20,inv_wide,0,21639875,716175243468652111
20,inv_wide,1,21579792,716175243468652111
20,chase_const,0,4355417,2048
20,chase_const,1,17396208,2048
20,chase_perm,0,17411625,665
20,chase_perm,1,17406917,665
21,inv,0,21732750,8584613699922148283
21,inv,1,21800292,8584613699922148283
21,inv_var,0,15295375,8584613699922148283
21,inv_var,1,15299167,8584613699922148283
21,mul,0,10229750,5227797977677173691
21,mul,1,10293333,5227797977677173691
21,inv_small,0,21613125,17835747444216045878
21,inv_small,1,21632125,17835747444216045878
21,inv_wide,0,21677834,716175243468652111
21,inv_wide,1,21625292,716175243468652111
21,chase_const,0,4343500,2048
21,chase_const,1,17420459,2048
21,chase_perm,0,17399875,665
21,chase_perm,1,17404459,665
22,inv,0,21745416,8584613699922148283
22,inv,1,21785792,8584613699922148283
22,inv_var,0,15256292,8584613699922148283
22,inv_var,1,15261625,8584613699922148283
22,mul,0,10231166,5227797977677173691
22,mul,1,10268959,5227797977677173691
22,inv_small,0,21611959,17835747444216045878
22,inv_small,1,21589584,17835747444216045878
22,inv_wide,0,21625000,716175243468652111
22,inv_wide,1,21588917,716175243468652111
22,chase_const,0,4340500,2048
22,chase_const,1,17392250,2048
22,chase_perm,0,17395125,665
22,chase_perm,1,17371625,665
23,inv,0,21741625,8584613699922148283
23,inv,1,21917250,8584613699922148283
23,inv_var,0,15246250,8584613699922148283
23,inv_var,1,15271333,8584613699922148283
23,mul,0,10233834,5227797977677173691
23,mul,1,10270334,5227797977677173691
23,inv_small,0,21619042,17835747444216045878
23,inv_small,1,21673375,17835747444216045878
23,inv_wide,0,21626459,716175243468652111
23,inv_wide,1,21584541,716175243468652111
23,chase_const,0,4362250,2048
23,chase_const,1,17407709,2048
23,chase_perm,0,17388542,665
23,chase_perm,1,17385708,665
24,inv,0,21748833,8584613699922148283
24,inv,1,21768834,8584613699922148283
24,inv_var,0,15257209,8584613699922148283
24,inv_var,1,15255792,8584613699922148283
24,mul,0,10448458,5227797977677173691
24,mul,1,10286959,5227797977677173691
24,inv_small,0,21663917,17835747444216045878
24,inv_small,1,21593416,17835747444216045878
24,inv_wide,0,21622625,716175243468652111
24,inv_wide,1,21666625,716175243468652111
24,chase_const,0,4386542,2048
24,chase_const,1,17395125,2048
24,chase_perm,0,17424250,665
24,chase_perm,1,17419208,665
25,inv,0,21731709,8584613699922148283
25,inv,1,21768416,8584613699922148283
25,inv_var,0,15253500,8584613699922148283
25,inv_var,1,15279958,8584613699922148283
25,mul,0,10231375,5227797977677173691
25,mul,1,10316458,5227797977677173691
25,inv_small,0,21676833,17835747444216045878
25,inv_small,1,21626167,17835747444216045878
25,inv_wide,0,21628833,716175243468652111
25,inv_wide,1,21622208,716175243468652111
25,chase_const,0,4343625,2048
25,chase_const,1,17393875,2048
25,chase_perm,0,17440333,665
25,chase_perm,1,17412708,665
26,inv,0,21754833,8584613699922148283
26,inv,1,21798125,8584613699922148283
26,inv_var,0,15271916,8584613699922148283
26,inv_var,1,15257083,8584613699922148283
26,mul,0,10262417,5227797977677173691
26,mul,1,10288834,5227797977677173691
26,inv_small,0,21643333,17835747444216045878
26,inv_small,1,21603292,17835747444216045878
26,inv_wide,0,21651958,716175243468652111
26,inv_wide,1,21591958,716175243468652111
26,chase_const,0,4343625,2048
26,chase_const,1,17376833,2048
26,chase_perm,0,17399167,665
26,chase_perm,1,17391792,665
27,inv,0,21728375,8584613699922148283
27,inv,1,21757125,8584613699922148283
27,inv_var,0,15236959,8584613699922148283
27,inv_var,1,15329084,8584613699922148283
27,mul,0,10327542,5227797977677173691
27,mul,1,10284000,5227797977677173691
27,inv_small,0,21659292,17835747444216045878
27,inv_small,1,21593166,17835747444216045878
27,inv_wide,0,21634125,716175243468652111
27,inv_wide,1,21668916,716175243468652111
27,chase_const,0,4357500,2048
27,chase_const,1,17413250,2048
27,chase_perm,0,17390541,665
27,chase_perm,1,17411167,665
28,inv,0,21760584,8584613699922148283
28,inv,1,21787708,8584613699922148283
28,inv_var,0,15226000,8584613699922148283
