rep,arm,dit,ns,checksum
10,inv_small,0,27765542,17835747444216045878
10,inv_small,1,34181209,17835747444216045878
10,inv_wide,0,27762125,716175243468652111
10,inv_wide,1,34177084,716175243468652111
10,chase_const,0,4343334,2048
10,chase_const,1,17414625,2048
10,chase_perm,0,17416334,665
10,chase_perm,1,17452583,665
11,inv,0,27901959,8584613699922148283
11,inv,1,34400625,8584613699922148283
11,inv_var,0,15255833,8584613699922148283
11,inv_var,1,15320125,8584613699922148283
11,mul,0,10295541,5227797977677173691
11,mul,1,10280417,5227797977677173691
11,inv_small,0,27758125,17835747444216045878
11,inv_small,1,34158833,17835747444216045878
11,inv_wide,0,27798875,716175243468652111
11,inv_wide,1,34196625,716175243468652111
11,chase_const,0,4343542,2048
11,chase_const,1,17387500,2048
11,chase_perm,0,17399916,665
11,chase_perm,1,17490542,665
12,inv,0,29817917,8584613699922148283
12,inv,1,37105375,8584613699922148283
12,inv_var,0,16476000,8584613699922148283
12,inv_var,1,16567250,8584613699922148283
12,mul,0,11256792,5227797977677173691
12,mul,1,11016417,5227797977677173691
12,inv_small,0,29772583,17835747444216045878
12,inv_small,1,63977166,17835747444216045878
12,inv_wide,0,46576917,716175243468652111
12,inv_wide,1,48461083,716175243468652111
12,chase_const,0,14340666,2048
12,chase_const,1,29662125,2048
12,chase_perm,0,23493333,665
12,chase_perm,1,24583959,665
13,inv,0,57495833,8584613699922148283
13,inv,1,44326709,8584613699922148283
13,inv_var,0,22182042,8584613699922148283
13,inv_var,1,16552542,8584613699922148283
13,mul,0,11116500,5227797977677173691
13,mul,1,11139417,5227797977677173691
13,inv_small,0,46531584,17835747444216045878
13,inv_small,1,42086291,17835747444216045878
13,inv_wide,0,35590167,716175243468652111
13,inv_wide,1,36600458,716175243468652111
13,chase_const,0,4353416,2048
13,chase_const,1,17620208,2048
13,chase_perm,0,17529500,665
13,chase_perm,1,17394459,665
14,inv,0,28108125,8584613699922148283
14,inv,1,34604625,8584613699922148283
14,inv_var,0,15291542,8584613699922148283
14,inv_var,1,15339000,8584613699922148283
14,mul,0,10298917,5227797977677173691
14,mul,1,10278958,5227797977677173691
14,inv_small,0,27773875,17835747444216045878
14,inv_small,1,34197334,17835747444216045878
14,inv_wide,0,27734375,716175243468652111
14,inv_wide,1,34166417,716175243468652111
14,chase_const,0,4343458,2048
14,chase_const,1,17440458,2048
14,chase_perm,0,17404333,665
14,chase_perm,1,17411417,665
15,inv,0,27877791,8584613699922148283
15,inv,1,34387792,8584613699922148283
15,inv_var,0,15237000,8584613699922148283
15,inv_var,1,15278292,8584613699922148283
15,mul,0,10225333,5227797977677173691
15,mul,1,10276250,5227797977677173691
15,inv_small,0,27718917,17835747444216045878
15,inv_small,1,34153291,17835747444216045878
15,inv_wide,0,27885000,716175243468652111
15,inv_wide,1,34154250,716175243468652111
15,chase_const,0,4372834,2048
15,chase_const,1,17391250,2048
15,chase_perm,0,17397875,665
15,chase_perm,1,17452125,665
16,inv,0,28018083,8584613699922148283
16,inv,1,34389125,8584613699922148283
16,inv_var,0,15264125,8584613699922148283
16,inv_var,1,15262125,8584613699922148283
16,mul,0,10231083,5227797977677173691
16,mul,1,10318625,5227797977677173691
16,inv_small,0,27804000,17835747444216045878
16,inv_small,1,34194084,17835747444216045878
16,inv_wide,0,27708875,716175243468652111
16,inv_wide,1,34196375,716175243468652111
16,chase_const,0,4369375,2048
16,chase_const,1,17417916,2048
16,chase_perm,0,17440625,665
16,chase_perm,1,17380458,665
17,inv,0,27904375,8584613699922148283
17,inv,1,34504667,8584613699922148283
17,inv_var,0,15298833,8584613699922148283
17,inv_var,1,15282833,8584613699922148283
17,mul,0,10257541,5227797977677173691
17,mul,1,10281292,5227797977677173691
17,inv_small,0,27764750,17835747444216045878
17,inv_small,1,34238417,17835747444216045878
17,inv_wide,0,27768292,716175243468652111
17,inv_wide,1,34188833,716175243468652111
17,chase_const,0,4365334,2048
17,chase_const,1,17412958,2048
17,chase_perm,0,17448125,665
17,chase_perm,1,17441167,665
18,inv,0,27923625,8584613699922148283
18,inv,1,34375083,8584613699922148283
18,inv_var,0,15253583,8584613699922148283
18,inv_var,1,15295333,8584613699922148283
18,mul,0,10258292,5227797977677173691
18,mul,1,10307833,5227797977677173691
18,inv_small,0,27761083,17835747444216045878
18,inv_small,1,34160708,17835747444216045878
18,inv_wide,0,27765667,716175243468652111
18,inv_wide,1,34181667,716175243468652111
18,chase_const,0,4358334,2048
18,chase_const,1,17372084,2048
18,chase_perm,0,17393167,665
18,chase_perm,1,17374250,665
19,inv,0,28192125,8584613699922148283
19,inv,1,34498875,8584613699922148283
19,inv_var,0,15280375,8584613699922148283
19,inv_var,1,15285000,8584613699922148283
19,mul,0,10283875,5227797977677173691
19,mul,1,10404834,5227797977677173691
19,inv_small,0,27733167,17835747444216045878
19,inv_small,1,34200417,17835747444216045878
19,inv_wide,0,27758584,716175243468652111
19,inv_wide,1,34163708,716175243468652111
19,chase_const,0,4361166,2048
19,chase_const,1,17458667,2048
19,chase_perm,0,17431916,665
19,chase_perm,1,17392000,665
20,inv,0,27923500,8584613699922148283
20,inv,1,34404458,8584613699922148283
20,inv_var,0,15263750,8584613699922148283
20,inv_var,1,15308625,8584613699922148283
20,mul,0,10221416,5227797977677173691
20,mul,1,10301083,5227797977677173691
20,inv_small,0,27740792,17835747444216045878
20,inv_small,1,34157000,17835747444216045878
20,inv_wide,0,27792917,716175243468652111
20,inv_wide,1,34182541,716175243468652111
20,chase_const,0,4343333,2048
20,chase_const,1,17400584,2048
20,chase_perm,0,17427667,665
20,chase_perm,1,17409125,665
21,inv,0,27936750,8584613699922148283
21,inv,1,34377167,8584613699922148283
21,inv_var,0,15251083,8584613699922148283
21,inv_var,1,15303125,8584613699922148283
21,mul,0,10248667,5227797977677173691
21,mul,1,10315584,5227797977677173691
21,inv_small,0,27725875,17835747444216045878
21,inv_small,1,34152250,17835747444216045878
21,inv_wide,0,27761166,716175243468652111
21,inv_wide,1,34211250,716175243468652111
21,chase_const,0,4348250,2048
21,chase_const,1,17391583,2048
21,chase_perm,0,17419166,665
21,chase_perm,1,17425542,665
22,inv,0,27906166,8584613699922148283
22,inv,1,34409042,8584613699922148283
