benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,CoreMHz,A,baseline,5,4414,
ditprobe,DitBit,A,baseline,5,0,
ditprobe,Const,C,baseline,5,680,
ditprobe,Perm,C,baseline,5,680,
ditprobe,CoreMHz,C,baseline,5,4416,
ditprobe,DitBit,C,baseline,5,1,
ditprobe,Const,P,hardened,5,226,
ditprobe,Perm,P,hardened,5,680,
ditprobe,CoreMHz,P,hardened,5,4414,
ditprobe,DitBit,P,hardened,5,0,
ditprobe,Const,F,func,5,226,
ditprobe,Perm,F,func,5,680,
ditprobe,CoreMHz,F,func,5,4415,
ditprobe,DitBit,F,func,5,0,
ditprobe,Const,N,narrow,6,226,
ditprobe,Perm,N,narrow,6,680,
ditprobe,CoreMHz,N,narrow,6,4414,
ditprobe,DitBit,N,narrow,6,0,
ditprobe,Const,Z,nopsw,6,226,
ditprobe,Perm,Z,nopsw,6,681,
ditprobe,CoreMHz,Z,nopsw,6,4415,
ditprobe,DitBit,Z,nopsw,6,0,
ditprobe,Const,A,baseline,6,226,
ditprobe,Perm,A,baseline,6,680,
ditprobe,CoreMHz,A,baseline,6,4415,
ditprobe,DitBit,A,baseline,6,0,
ditprobe,Const,C,baseline,6,679,
ditprobe,Perm,C,baseline,6,680,
ditprobe,CoreMHz,C,baseline,6,4398,
ditprobe,DitBit,C,baseline,6,1,
ditprobe,Const,P,hardened,6,226,
ditprobe,Perm,P,hardened,6,680,
ditprobe,CoreMHz,P,hardened,6,4415,
ditprobe,DitBit,P,hardened,6,0,
ditprobe,Const,F,func,6,226,
ditprobe,Perm,F,func,6,680,
ditprobe,CoreMHz,F,func,6,4414,
ditprobe,DitBit,F,func,6,0,
ditprobe,Const,X,fine,6,227,
ditprobe,Perm,X,fine,6,681,
ditprobe,CoreMHz,X,fine,6,4415,
ditprobe,DitBit,X,fine,6,0,
ditprobe,Const,Z,nopsw,7,227,
ditprobe,Perm,Z,nopsw,7,681,
ditprobe,CoreMHz,Z,nopsw,7,4407,
ditprobe,DitBit,Z,nopsw,7,0,
ditprobe,Const,A,baseline,7,226,
ditprobe,Perm,A,baseline,7,680,
ditprobe,CoreMHz,A,baseline,7,4414,
ditprobe,DitBit,A,baseline,7,0,
ditprobe,Const,C,baseline,7,681,
ditprobe,Perm,C,baseline,7,681,
ditprobe,CoreMHz,C,baseline,7,4393,
ditprobe,DitBit,C,baseline,7,1,
ditprobe,Const,P,hardened,7,227,
ditprobe,Perm,P,hardened,7,680,
ditprobe,CoreMHz,P,hardened,7,4391,
ditprobe,DitBit,P,hardened,7,0,
ditprobe,Const,F,func,7,227,
ditprobe,Perm,F,func,7,681,
ditprobe,CoreMHz,F,func,7,4381,
ditprobe,DitBit,F,func,7,0,
ditprobe,Const,X,fine,7,227,
ditprobe,Perm,X,fine,7,681,
ditprobe,CoreMHz,X,fine,7,4405,
ditprobe,DitBit,X,fine,7,0,
ditprobe,Const,N,narrow,7,226,
ditprobe,Perm,N,narrow,7,681,
ditprobe,CoreMHz,N,narrow,7,4411,
ditprobe,DitBit,N,narrow,7,0,
ditprobe,Const,A,baseline,8,227,
ditprobe,Perm,A,baseline,8,683,
ditprobe,CoreMHz,A,baseline,8,4405,
ditprobe,DitBit,A,baseline,8,0,
ditprobe,Const,C,baseline,8,681,
ditprobe,Perm,C,baseline,8,681,
ditprobe,CoreMHz,C,baseline,8,4382,
ditprobe,DitBit,C,baseline,8,1,
ditprobe,Const,P,hardened,8,227,
ditprobe,Perm,P,hardened,8,680,
ditprobe,CoreMHz,P,hardened,8,4388,
ditprobe,DitBit,P,hardened,8,0,
ditprobe,Const,F,func,8,227,
ditprobe,Perm,F,func,8,681,
ditprobe,CoreMHz,F,func,8,4390,
ditprobe,DitBit,F,func,8,0,
ditprobe,Const,X,fine,8,227,
ditprobe,Perm,X,fine,8,681,
ditprobe,CoreMHz,X,fine,8,4406,
ditprobe,DitBit,X,fine,8,0,
ditprobe,Const,N,narrow,8,227,
ditprobe,Perm,N,narrow,8,681,
ditprobe,CoreMHz,N,narrow,8,4402,
ditprobe,DitBit,N,narrow,8,0,
ditprobe,Const,Z,nopsw,8,227,
ditprobe,Perm,Z,nopsw,8,681,
ditprobe,CoreMHz,Z,nopsw,8,4415,
ditprobe,DitBit,Z,nopsw,8,0,
ditprobe,Const,C,baseline,9,680,
ditprobe,Perm,C,baseline,9,681,
ditprobe,CoreMHz,C,baseline,9,4413,
ditprobe,DitBit,C,baseline,9,1,
ditprobe,Const,P,hardened,9,228,
ditprobe,Perm,P,hardened,9,681,
ditprobe,CoreMHz,P,hardened,9,4397,
ditprobe,DitBit,P,hardened,9,0,
ditprobe,Const,F,func,9,228,
ditprobe,Perm,F,func,9,680,
ditprobe,CoreMHz,F,func,9,4397,
ditprobe,DitBit,F,func,9,0,
ditprobe,Const,X,fine,9,226,
ditprobe,Perm,X,fine,9,680,
ditprobe,CoreMHz,X,fine,9,4392,
ditprobe,DitBit,X,fine,9,0,
ditprobe,Const,N,narrow,9,227,
ditprobe,Perm,N,narrow,9,681,
ditprobe,CoreMHz,N,narrow,9,4386,
ditprobe,DitBit,N,narrow,9,0,
ditprobe,Const,Z,nopsw,9,227,
ditprobe,Perm,Z,nopsw,9,681,
ditprobe,CoreMHz,Z,nopsw,9,4411,
ditprobe,DitBit,Z,nopsw,9,0,
ditprobe,Const,A,baseline,9,227,
ditprobe,Perm,A,baseline,9,681,
ditprobe,CoreMHz,A,baseline,9,4410,
ditprobe,DitBit,A,baseline,9,0,
ditprobe,Const,P,hardened,10,226,
ditprobe,Perm,P,hardened,10,681,
ditprobe,CoreMHz,P,hardened,10,4399,
ditprobe,DitBit,P,hardened,10,0,
ditprobe,Const,F,func,10,227,
ditprobe,Perm,F,func,10,681,
ditprobe,CoreMHz,F,func,10,4411,
ditprobe,DitBit,F,func,10,0,
ditprobe,Const,X,fine,10,227,
ditprobe,Perm,X,fine,10,681,
ditprobe,CoreMHz,X,fine,10,4406,
ditprobe,DitBit,X,fine,10,0,
ditprobe,Const,N,narrow,10,227,
ditprobe,Perm,N,narrow,10,681,
ditprobe,CoreMHz,N,narrow,10,4405,
ditprobe,DitBit,N,narrow,10,0,
ditprobe,Const,Z,nopsw,10,228,
ditprobe,Perm,Z,nopsw,10,681,
ditprobe,CoreMHz,Z,nopsw,10,4411,
ditprobe,DitBit,Z,nopsw,10,0,
ditprobe,Const,A,baseline,10,228,
ditprobe,Perm,A,baseline,10,688,
ditprobe,CoreMHz,A,baseline,10,4406,
ditprobe,DitBit,A,baseline,10,0,
ditprobe,Const,C,baseline,10,681,
ditprobe,Perm,C,baseline,10,681,
ditprobe,CoreMHz,C,baseline,10,4407,
ditprobe,DitBit,C,baseline,10,1,
ditprobe,Const,F,func,11,227,
ditprobe,Perm,F,func,11,681,
ditprobe,CoreMHz,F,func,11,4414,
ditprobe,DitBit,F,func,11,0,
ditprobe,Const,X,fine,11,227,
ditprobe,Perm,X,fine,11,681,
ditprobe,CoreMHz,X,fine,11,4411,
ditprobe,DitBit,X,fine,11,0,
ditprobe,Const,N,narrow,11,227,
ditprobe,Perm,N,narrow,11,681,
ditprobe,CoreMHz,N,narrow,11,4397,
ditprobe,DitBit,N,narrow,11,0,
ditprobe,Const,Z,nopsw,11,228,
ditprobe,Perm,Z,nopsw,11,681,
ditprobe,CoreMHz,Z,nopsw,11,4408,
ditprobe,DitBit,Z,nopsw,11,0,
ditprobe,Const,A,baseline,11,228,
ditprobe,Perm,A,baseline,11,681,
ditprobe,CoreMHz,A,baseline,11,4411,
ditprobe,DitBit,A,baseline,11,0,
ditprobe,Const,C,baseline,11,681,
ditprobe,Perm,C,baseline,11,680,
ditprobe,CoreMHz,C,baseline,11,4416,
ditprobe,DitBit,C,baseline,11,1,
ditprobe,Const,P,hardened,11,226,
ditprobe,Perm,P,hardened,11,681,
ditprobe,CoreMHz,P,hardened,11,4414,
ditprobe,DitBit,P,hardened,11,0,
ditprobe,Const,X,fine,12,226,
ditprobe,Perm,X,fine,12,680,
ditprobe,CoreMHz,X,fine,12,4414,
ditprobe,DitBit,X,fine,12,0,
ditprobe,Const,N,narrow,12,226,
ditprobe,Perm,N,narrow,12,680,
ditprobe,CoreMHz,N,narrow,12,4414,
ditprobe,DitBit,N,narrow,12,0,
ditprobe,Const,Z,nopsw,12,227,
ditprobe,Perm,Z,nopsw,12,680,
ditprobe,CoreMHz,Z,nopsw,12,4414,
ditprobe,DitBit,Z,nopsw,12,0,
ditprobe,Const,A,baseline,12,228,
ditprobe,Perm,A,baseline,12,684,
ditprobe,CoreMHz,A,baseline,12,4408,
ditprobe,DitBit,A,baseline,12,0,
ditprobe,Const,C,baseline,12,681,
ditprobe,Perm,C,baseline,12,681,
ditprobe,CoreMHz,C,baseline,12,4413,
ditprobe,DitBit,C,baseline,12,1,
ditprobe,Const,P,hardened,12,227,
ditprobe,Perm,P,hardened,12,681,
ditprobe,CoreMHz,P,hardened,12,4393,
ditprobe,DitBit,P,hardened,12,0,
ditprobe,Const,F,func,12,227,
ditprobe,Perm,F,func,12,681,
ditprobe,CoreMHz,F,func,12,4406,
ditprobe,DitBit,F,func,12,0,
ditprobe,Const,N,narrow,13,227,
ditprobe,Perm,N,narrow,13,681,
ditprobe,CoreMHz,N,narrow,13,4406,
ditprobe,DitBit,N,narrow,13,0,
ditprobe,Const,Z,nopsw,13,226,
ditprobe,Perm,Z,nopsw,13,681,
ditprobe,CoreMHz,Z,nopsw,13,4414,
