benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,Const,A,baseline,1,226,
ditprobe,Perm,A,baseline,1,656,
ditprobe,CoreMHz,A,baseline,1,4594,
ditprobe,DitBit,A,baseline,1,0,
ditprobe,Const,C,baseline,1,652,
ditprobe,Perm,C,baseline,1,651,
ditprobe,CoreMHz,C,baseline,1,4608,
ditprobe,DitBit,C,baseline,1,1,
ditprobe,Const,P,hardened,1,217,
ditprobe,Perm,P,hardened,1,653,
ditprobe,CoreMHz,P,hardened,1,4590,
ditprobe,DitBit,P,hardened,1,0,
ditprobe,Const,F,func,1,218,
ditprobe,Perm,F,func,1,652,
ditprobe,CoreMHz,F,func,1,4575,
ditprobe,DitBit,F,func,1,0,
ditprobe,Const,X,fine,1,217,
ditprobe,Perm,X,fine,1,653,
ditprobe,CoreMHz,X,fine,1,4590,
ditprobe,DitBit,X,fine,1,0,
ditprobe,Const,N,narrow,1,222,
ditprobe,Perm,N,narrow,1,653,
ditprobe,CoreMHz,N,narrow,1,4602,
ditprobe,DitBit,N,narrow,1,0,
ditprobe,Const,Z,nopsw,1,218,
ditprobe,Perm,Z,nopsw,1,652,
ditprobe,CoreMHz,Z,nopsw,1,4589,
ditprobe,DitBit,Z,nopsw,1,0,
ditprobe,Const,C,baseline,2,653,
ditprobe,Perm,C,baseline,2,653,
ditprobe,CoreMHz,C,baseline,2,4583,
ditprobe,DitBit,C,baseline,2,1,
ditprobe,Const,P,hardened,2,217,
ditprobe,Perm,P,hardened,2,653,
ditprobe,CoreMHz,P,hardened,2,4589,
ditprobe,DitBit,P,hardened,2,0,
ditprobe,Const,F,func,2,217,
ditprobe,Perm,F,func,2,653,
ditprobe,CoreMHz,F,func,2,4591,
ditprobe,DitBit,F,func,2,0,
ditprobe,Const,X,fine,2,218,
ditprobe,Perm,X,fine,2,652,
ditprobe,CoreMHz,X,fine,2,4584,
ditprobe,DitBit,X,fine,2,0,
ditprobe,Const,N,narrow,2,221,
ditprobe,Perm,N,narrow,2,653,
ditprobe,CoreMHz,N,narrow,2,4596,
ditprobe,DitBit,N,narrow,2,0,
ditprobe,Const,Z,nopsw,2,217,
ditprobe,Perm,Z,nopsw,2,652,
ditprobe,CoreMHz,Z,nopsw,2,4584,
ditprobe,DitBit,Z,nopsw,2,0,
ditprobe,Const,A,baseline,2,218,
ditprobe,Perm,A,baseline,2,654,
ditprobe,CoreMHz,A,baseline,2,4606,
ditprobe,DitBit,A,baseline,2,0,
ditprobe,Const,P,hardened,3,218,
ditprobe,Perm,P,hardened,3,654,
ditprobe,CoreMHz,P,hardened,3,4585,
ditprobe,DitBit,P,hardened,3,0,
ditprobe,Const,F,func,3,218,
ditprobe,Perm,F,func,3,654,
ditprobe,CoreMHz,F,func,3,4597,
ditprobe,DitBit,F,func,3,0,
ditprobe,Const,X,fine,3,218,
ditprobe,Perm,X,fine,3,653,
ditprobe,CoreMHz,X,fine,3,4581,
ditprobe,DitBit,X,fine,3,0,
ditprobe,Const,N,narrow,3,218,
ditprobe,Perm,N,narrow,3,653,
ditprobe,CoreMHz,N,narrow,3,4593,
ditprobe,DitBit,N,narrow,3,0,
ditprobe,Const,Z,nopsw,3,218,
ditprobe,Perm,Z,nopsw,3,653,
ditprobe,CoreMHz,Z,nopsw,3,4590,
ditprobe,DitBit,Z,nopsw,3,0,
ditprobe,Const,A,baseline,3,217,
ditprobe,Perm,A,baseline,3,653,
ditprobe,CoreMHz,A,baseline,3,4585,
ditprobe,DitBit,A,baseline,3,0,
ditprobe,Const,C,baseline,3,653,
ditprobe,Perm,C,baseline,3,653,
