benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,Perm,X,fine,22,869,
ditprobe,DitBit,X,fine,22,0,
ditprobe,CoreMHz,X,fine,22,4599,
ditprobe,Const,N,narrow,22,222,
ditprobe,Perm,N,narrow,22,870,
ditprobe,DitBit,N,narrow,22,0,
ditprobe,CoreMHz,N,narrow,22,4599,
ditprobe,Const,A,baseline,22,223,
ditprobe,Perm,A,baseline,22,870,
ditprobe,DitBit,A,baseline,22,0,
ditprobe,CoreMHz,A,baseline,22,4598,
ditprobe,Const,C,baseline,22,874,
ditprobe,Perm,C,baseline,22,870,
ditprobe,DitBit,C,baseline,22,1,
ditprobe,CoreMHz,C,baseline,22,4598,
ditprobe,Const,P,hardened,22,222,
ditprobe,Perm,P,hardened,22,870,
ditprobe,DitBit,P,hardened,22,0,
ditprobe,CoreMHz,P,hardened,22,4600,
ditprobe,Const,X,fine,23,221,
ditprobe,Perm,X,fine,23,870,
ditprobe,DitBit,X,fine,23,0,
ditprobe,CoreMHz,X,fine,23,4600,
ditprobe,Const,N,narrow,23,223,
ditprobe,Perm,N,narrow,23,870,
ditprobe,DitBit,N,narrow,23,0,
ditprobe,CoreMHz,N,narrow,23,4600,
ditprobe,Const,A,baseline,23,222,
ditprobe,Perm,A,baseline,23,869,
ditprobe,DitBit,A,baseline,23,0,
ditprobe,CoreMHz,A,baseline,23,4598,
ditprobe,Const,C,baseline,23,873,
ditprobe,Perm,C,baseline,23,870,
ditprobe,DitBit,C,baseline,23,1,
ditprobe,CoreMHz,C,baseline,23,4598,
ditprobe,Const,P,hardened,23,221,
ditprobe,Perm,P,hardened,23,870,
ditprobe,DitBit,P,hardened,23,0,
ditprobe,CoreMHz,P,hardened,23,4600,
ditprobe,Const,F,func,23,225,
ditprobe,Perm,F,func,23,870,
ditprobe,DitBit,F,func,23,0,
ditprobe,CoreMHz,F,func,23,4598,
ditprobe,Const,N,narrow,24,223,
ditprobe,Perm,N,narrow,24,870,
ditprobe,DitBit,N,narrow,24,0,
ditprobe,CoreMHz,N,narrow,24,4601,
ditprobe,Const,A,baseline,24,223,
ditprobe,Perm,A,baseline,24,870,
ditprobe,DitBit,A,baseline,24,0,
ditprobe,CoreMHz,A,baseline,24,4600,
ditprobe,Const,C,baseline,24,873,
ditprobe,Perm,C,baseline,24,869,
ditprobe,DitBit,C,baseline,24,1,
ditprobe,CoreMHz,C,baseline,24,4599,
ditprobe,Const,P,hardened,24,222,
ditprobe,Perm,P,hardened,24,871,
ditprobe,DitBit,P,hardened,24,0,
ditprobe,CoreMHz,P,hardened,24,4601,
ditprobe,Const,F,func,24,222,
ditprobe,Perm,F,func,24,870,
ditprobe,DitBit,F,func,24,0,
ditprobe,CoreMHz,F,func,24,4591,
ditprobe,Const,X,fine,24,222,
ditprobe,Perm,X,fine,24,870,
ditprobe,DitBit,X,fine,24,0,
ditprobe,CoreMHz,X,fine,24,4599,
ditprobe,Const,A,baseline,25,222,
ditprobe,Perm,A,baseline,25,870,
ditprobe,DitBit,A,baseline,25,0,
ditprobe,CoreMHz,A,baseline,25,4597,
ditprobe,Const,C,baseline,25,873,
ditprobe,Perm,C,baseline,25,870,
ditprobe,DitBit,C,baseline,25,1,
ditprobe,CoreMHz,C,baseline,25,4598,
ditprobe,Const,P,hardened,25,221,
ditprobe,Perm,P,hardened,25,871,
ditprobe,DitBit,P,hardened,25,0,
ditprobe,CoreMHz,P,hardened,25,4598,
ditprobe,Const,F,func,25,222,
ditprobe,Perm,F,func,25,870,
ditprobe,DitBit,F,func,25,0,
ditprobe,CoreMHz,F,func,25,4592,
ditprobe,Const,X,fine,25,223,
ditprobe,Perm,X,fine,25,870,
ditprobe,DitBit,X,fine,25,0,
ditprobe,CoreMHz,X,fine,25,4601,
ditprobe,Const,N,narrow,25,222,
ditprobe,Perm,N,narrow,25,870,
ditprobe,DitBit,N,narrow,25,0,
ditprobe,CoreMHz,N,narrow,25,4596,
