benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,CoreMHz,X,fine,1,4602,
ditprobe,DitBit,X,fine,1,0,
ditprobe,Const,N,narrow,1,218,
ditprobe,Perm,N,narrow,1,652,
ditprobe,CoreMHz,N,narrow,1,4602,
ditprobe,DitBit,N,narrow,1,0,
ditprobe,Const,Z,nopsw,1,217,
ditprobe,Perm,Z,nopsw,1,652,
ditprobe,CoreMHz,Z,nopsw,1,4602,
ditprobe,DitBit,Z,nopsw,1,0,
ditprobe,Const,C,baseline,2,652,
ditprobe,Perm,C,baseline,2,652,
ditprobe,CoreMHz,C,baseline,2,4601,
ditprobe,DitBit,C,baseline,2,1,
ditprobe,Const,P,hardened,2,217,
ditprobe,Perm,P,hardened,2,653,
ditprobe,CoreMHz,P,hardened,2,4602,
ditprobe,DitBit,P,hardened,2,0,
ditprobe,Const,F,func,2,218,
ditprobe,Perm,F,func,2,652,
ditprobe,CoreMHz,F,func,2,4590,
ditprobe,DitBit,F,func,2,0,
ditprobe,Const,X,fine,2,217,
ditprobe,Perm,X,fine,2,652,
ditprobe,CoreMHz,X,fine,2,4601,
ditprobe,DitBit,X,fine,2,0,
ditprobe,Const,N,narrow,2,218,
ditprobe,Perm,N,narrow,2,652,
ditprobe,CoreMHz,N,narrow,2,4602,
ditprobe,DitBit,N,narrow,2,0,
ditprobe,Const,Z,nopsw,2,218,
ditprobe,Perm,Z,nopsw,2,653,
ditprobe,CoreMHz,Z,nopsw,2,4581,
ditprobe,DitBit,Z,nopsw,2,0,
ditprobe,Const,A,baseline,2,217,
ditprobe,Perm,A,baseline,2,653,
ditprobe,CoreMHz,A,baseline,2,4590,
ditprobe,DitBit,A,baseline,2,0,
ditprobe,Const,P,hardened,3,217,
ditprobe,Perm,P,hardened,3,652,
ditprobe,CoreMHz,P,hardened,3,4589,
ditprobe,DitBit,P,hardened,3,0,
ditprobe,Const,F,func,3,218,
ditprobe,Perm,F,func,3,652,
ditprobe,CoreMHz,F,func,3,4601,
ditprobe,DitBit,F,func,3,0,
ditprobe,Const,X,fine,3,217,
ditprobe,Perm,X,fine,3,652,
ditprobe,CoreMHz,X,fine,3,4572,
ditprobe,DitBit,X,fine,3,0,
ditprobe,Const,N,narrow,3,217,
ditprobe,Perm,N,narrow,3,652,
ditprobe,CoreMHz,N,narrow,3,4585,
ditprobe,DitBit,N,narrow,3,0,
ditprobe,Const,Z,nopsw,3,217,
ditprobe,Perm,Z,nopsw,3,652,
ditprobe,CoreMHz,Z,nopsw,3,4589,
ditprobe,DitBit,Z,nopsw,3,0,
ditprobe,Const,A,baseline,3,217,
ditprobe,Perm,A,baseline,3,652,
ditprobe,CoreMHz,A,baseline,3,4591,
ditprobe,DitBit,A,baseline,3,0,
ditprobe,Const,C,baseline,3,652,
ditprobe,Perm,C,baseline,3,651,
ditprobe,CoreMHz,C,baseline,3,4604,
ditprobe,DitBit,C,baseline,3,1,
ditprobe,Const,P,hardened,4,217,
ditprobe,Perm,P,hardened,4,652,
ditprobe,CoreMHz,P,hardened,4,4602,
ditprobe,DitBit,P,hardened,4,0,
ditprobe,Const,F,func,4,217,
ditprobe,Perm,F,func,4,652,
ditprobe,CoreMHz,F,func,4,4590,
ditprobe,DitBit,F,func,4,0,
ditprobe,Const,X,fine,4,217,
ditprobe,Perm,X,fine,4,652,
ditprobe,CoreMHz,X,fine,4,4591,
ditprobe,DitBit,X,fine,4,0,
ditprobe,Const,N,narrow,4,218,
ditprobe,Perm,N,narrow,4,653,
ditprobe,CoreMHz,N,narrow,4,4591,
ditprobe,DitBit,N,narrow,4,0,
ditprobe,Const,Z,nopsw,4,217,
ditprobe,Perm,Z,nopsw,4,653,
ditprobe,CoreMHz,Z,nopsw,4,4602,
ditprobe,DitBit,Z,nopsw,4,0,
ditprobe,Const,A,baseline,4,217,
ditprobe,Perm,A,baseline,4,652,
ditprobe,CoreMHz,A,baseline,4,4601,
ditprobe,DitBit,A,baseline,4,0,
ditprobe,Const,C,baseline,4,652,
ditprobe,Perm,C,baseline,4,651,
ditprobe,CoreMHz,C,baseline,4,4594,
ditprobe,DitBit,C,baseline,4,1,
ditprobe,Const,F,func,5,217,
ditprobe,Perm,F,func,5,653,
ditprobe,CoreMHz,F,func,5,4572,
ditprobe,DitBit,F,func,5,0,
ditprobe,Const,X,fine,5,219,
ditprobe,Perm,X,fine,5,653,
ditprobe,CoreMHz,X,fine,5,4593,
ditprobe,DitBit,X,fine,5,0,
ditprobe,Const,N,narrow,5,217,
ditprobe,Perm,N,narrow,5,652,
ditprobe,CoreMHz,N,narrow,5,4598,
ditprobe,DitBit,N,narrow,5,0,
ditprobe,Const,Z,nopsw,5,218,
ditprobe,Perm,Z,nopsw,5,652,
ditprobe,CoreMHz,Z,nopsw,5,4585,
ditprobe,DitBit,Z,nopsw,5,0,
ditprobe,Const,A,baseline,5,218,
ditprobe,Perm,A,baseline,5,653,
ditprobe,CoreMHz,A,baseline,5,4587,
ditprobe,DitBit,A,baseline,5,0,
ditprobe,Const,C,baseline,5,652,
ditprobe,Perm,C,baseline,5,652,
ditprobe,CoreMHz,C,baseline,5,4584,
ditprobe,DitBit,C,baseline,5,1,
ditprobe,Const,P,hardened,5,217,
ditprobe,Perm,P,hardened,5,656,
ditprobe,CoreMHz,P,hardened,5,4601,
ditprobe,DitBit,P,hardened,5,0,
ditprobe,Const,X,fine,6,217,
ditprobe,Perm,X,fine,6,653,
ditprobe,CoreMHz,X,fine,6,4602,
ditprobe,DitBit,X,fine,6,0,
ditprobe,Const,N,narrow,6,217,
ditprobe,Perm,N,narrow,6,652,
ditprobe,CoreMHz,N,narrow,6,4599,
ditprobe,DitBit,N,narrow,6,0,
ditprobe,Const,Z,nopsw,6,217,
ditprobe,Perm,Z,nopsw,6,655,
ditprobe,CoreMHz,Z,nopsw,6,4583,
ditprobe,DitBit,Z,nopsw,6,0,
ditprobe,Const,A,baseline,6,217,
ditprobe,Perm,A,baseline,6,652,
ditprobe,CoreMHz,A,baseline,6,4594,
ditprobe,DitBit,A,baseline,6,0,
ditprobe,Const,C,baseline,6,653,
ditprobe,Perm,C,baseline,6,653,
ditprobe,CoreMHz,C,baseline,6,4604,
ditprobe,DitBit,C,baseline,6,1,
ditprobe,Const,P,hardened,6,218,
ditprobe,Perm,P,hardened,6,652,
ditprobe,CoreMHz,P,hardened,6,4602,
ditprobe,DitBit,P,hardened,6,0,
ditprobe,Const,F,func,6,217,
ditprobe,Perm,F,func,6,652,
ditprobe,CoreMHz,F,func,6,4601,
ditprobe,DitBit,F,func,6,0,
ditprobe,Const,N,narrow,7,218,
ditprobe,Perm,N,narrow,7,652,
ditprobe,CoreMHz,N,narrow,7,4591,
ditprobe,DitBit,N,narrow,7,0,
ditprobe,Const,Z,nopsw,7,217,
ditprobe,Perm,Z,nopsw,7,652,
ditprobe,CoreMHz,Z,nopsw,7,4602,
ditprobe,DitBit,Z,nopsw,7,0,
ditprobe,Const,A,baseline,7,221,
ditprobe,Perm,A,baseline,7,653,
ditprobe,CoreMHz,A,baseline,7,4590,
ditprobe,DitBit,A,baseline,7,0,
ditprobe,Const,C,baseline,7,652,
ditprobe,Perm,C,baseline,7,652,
ditprobe,CoreMHz,C,baseline,7,4604,
ditprobe,DitBit,C,baseline,7,1,
ditprobe,Const,P,hardened,7,217,
ditprobe,Perm,P,hardened,7,652,
ditprobe,CoreMHz,P,hardened,7,4601,
ditprobe,DitBit,P,hardened,7,0,
ditprobe,Const,F,func,7,217,
ditprobe,Perm,F,func,7,652,
ditprobe,CoreMHz,F,func,7,4585,
ditprobe,DitBit,F,func,7,0,
ditprobe,Const,X,fine,7,219,
ditprobe,Perm,X,fine,7,653,
ditprobe,CoreMHz,X,fine,7,4590,
ditprobe,DitBit,X,fine,7,0,
ditprobe,Const,Z,nopsw,8,217,
ditprobe,Perm,Z,nopsw,8,653,
ditprobe,CoreMHz,Z,nopsw,8,4590,
ditprobe,DitBit,Z,nopsw,8,0,
ditprobe,Const,A,baseline,8,219,
ditprobe,Perm,A,baseline,8,653,
ditprobe,CoreMHz,A,baseline,8,4590,
ditprobe,DitBit,A,baseline,8,0,
ditprobe,Const,C,baseline,8,653,
ditprobe,Perm,C,baseline,8,652,
ditprobe,CoreMHz,C,baseline,8,4604,
ditprobe,DitBit,C,baseline,8,1,
ditprobe,Const,P,hardened,8,217,
ditprobe,Perm,P,hardened,8,652,
ditprobe,CoreMHz,P,hardened,8,4602,
ditprobe,DitBit,P,hardened,8,0,
ditprobe,Const,F,func,8,217,
ditprobe,Perm,F,func,8,652,
ditprobe,CoreMHz,F,func,8,4590,
ditprobe,DitBit,F,func,8,0,
ditprobe,Const,X,fine,8,217,
ditprobe,Perm,X,fine,8,652,
ditprobe,CoreMHz,X,fine,8,4590,
ditprobe,DitBit,X,fine,8,0,
ditprobe,Const,N,narrow,8,217,
ditprobe,Perm,N,narrow,8,652,
ditprobe,CoreMHz,N,narrow,8,4590,
ditprobe,DitBit,N,narrow,8,0,
ditprobe,Const,A,baseline,9,217,
ditprobe,Perm,A,baseline,9,652,
ditprobe,CoreMHz,A,baseline,9,4590,
ditprobe,DitBit,A,baseline,9,0,
ditprobe,Const,C,baseline,9,652,
ditprobe,Perm,C,baseline,9,652,
ditprobe,CoreMHz,C,baseline,9,4604,
ditprobe,DitBit,C,baseline,9,1,
ditprobe,Const,P,hardened,9,217,
ditprobe,Perm,P,hardened,9,652,
ditprobe,CoreMHz,P,hardened,9,4589,
ditprobe,DitBit,P,hardened,9,0,
ditprobe,Const,F,func,9,218,
