host,benchmark,timer,units,base_per_op,base_cycles_per_op,reps,mad_pct,C_blanket_x,P_pass_x,F_func_x,X_olddefaults_x,N_resolved_x,Z_nopsw_x
M4,ed25519,cntvct,cntvct_ticks_1ns,7828,34506,15,0.53,1.0087,1.0946,1.0884,1.1457,1.0900,0.9962
M4,chacha20_poly1305_encrypt,cntvct,cntvct_ticks_1ns,251,1108,15,1.56,1.0127,3.4316,3.4117,4.4134,3.4288,0.9760
M4,chacha20_poly1305_decrypt,cntvct,cntvct_ticks_1ns,256,1129,15,0.38,1.0207,3.6217,3.5859,4.7164,3.6306,1.0024
M4,aesni256gcm_encrypt,cntvct,cntvct_ticks_1ns,62,272,15,1.48,1.0015,3.3389,3.3165,5.0391,3.3672,1.0870
M4,aesni256gcm_decrypt,cntvct,cntvct_ticks_1ns,82,360,15,0.71,1.0081,2.9496,2.9016,3.4014,2.9726,0.9838
M4,argon2id,cntvct,cntvct_ticks_1ns,50489010,222555555,15,0.32,0.9981,0.9963,0.9958,0.9955,0.9949,0.9950
M4,ed25519,kperf,kperf_cycles,38107,38107,15,0.15,1.0071,1.0824,1.0754,1.1289,1.0844,
M4,chacha20_poly1305_encrypt,kperf,kperf_cycles,4476,4476,15,1.05,1.0134,1.6078,1.5951,1.8492,1.6058,
M4,chacha20_poly1305_decrypt,kperf,kperf_cycles,4502,4502,15,1.08,1.0140,1.6618,1.6465,1.9288,1.6581,
M4,aesni256gcm_encrypt,kperf,kperf_cycles,3720,3720,15,0.40,1.0041,1.1536,1.1471,1.2764,1.1517,
M4,aesni256gcm_decrypt,kperf,kperf_cycles,3876,3876,15,0.38,1.0089,1.1436,1.1415,1.1858,1.1441,
M4,argon2id,kperf,kperf_cycles,211401385,211401385,15,0.37,0.9997,1.0008,0.9996,0.9991,0.9981,
