benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,CoreMHz,A,baseline,5,4601,
ditprobe,DitBit,A,baseline,5,0,
ditprobe,Const,C,baseline,5,651,
ditprobe,Perm,C,baseline,5,653,
ditprobe,CoreMHz,C,baseline,5,4604,
ditprobe,DitBit,C,baseline,5,1,
ditprobe,Const,P,hardened,5,217,
ditprobe,Perm,P,hardened,5,652,
ditprobe,CoreMHz,P,hardened,5,4601,
ditprobe,DitBit,P,hardened,5,0,
ditprobe,Const,F,func,5,217,
ditprobe,Perm,F,func,5,652,
ditprobe,CoreMHz,F,func,5,4590,
ditprobe,DitBit,F,func,5,0,
ditprobe,Const,N,narrow,6,218,
ditprobe,Perm,N,narrow,6,653,
ditprobe,CoreMHz,N,narrow,6,4602,
ditprobe,DitBit,N,narrow,6,0,
ditprobe,Const,Z,nopsw,6,218,
ditprobe,Perm,Z,nopsw,6,652,
ditprobe,CoreMHz,Z,nopsw,6,4590,
ditprobe,DitBit,Z,nopsw,6,0,
ditprobe,Const,A,baseline,6,217,
ditprobe,Perm,A,baseline,6,653,
ditprobe,CoreMHz,A,baseline,6,4602,
ditprobe,DitBit,A,baseline,6,0,
ditprobe,Const,C,baseline,6,651,
ditprobe,Perm,C,baseline,6,652,
ditprobe,CoreMHz,C,baseline,6,4601,
ditprobe,DitBit,C,baseline,6,1,
ditprobe,Const,P,hardened,6,217,
ditprobe,Perm,P,hardened,6,653,
ditprobe,CoreMHz,P,hardened,6,4599,
ditprobe,DitBit,P,hardened,6,0,
ditprobe,Const,F,func,6,217,
ditprobe,Perm,F,func,6,651,
ditprobe,CoreMHz,F,func,6,4590,
ditprobe,DitBit,F,func,6,0,
ditprobe,Const,X,fine,6,217,
ditprobe,Perm,X,fine,6,652,
ditprobe,CoreMHz,X,fine,6,4589,
ditprobe,DitBit,X,fine,6,0,
ditprobe,Const,Z,nopsw,7,217,
ditprobe,Perm,Z,nopsw,7,652,
ditprobe,CoreMHz,Z,nopsw,7,4601,
ditprobe,DitBit,Z,nopsw,7,0,
ditprobe,Const,A,baseline,7,217,
ditprobe,Perm,A,baseline,7,653,
ditprobe,CoreMHz,A,baseline,7,4593,
ditprobe,DitBit,A,baseline,7,0,
ditprobe,Const,C,baseline,7,652,
ditprobe,Perm,C,baseline,7,653,
ditprobe,CoreMHz,C,baseline,7,4604,
ditprobe,DitBit,C,baseline,7,1,
ditprobe,Const,P,hardened,7,218,
ditprobe,Perm,P,hardened,7,653,
ditprobe,CoreMHz,P,hardened,7,4592,
ditprobe,DitBit,P,hardened,7,0,
ditprobe,Const,F,func,7,217,
ditprobe,Perm,F,func,7,654,
ditprobe,CoreMHz,F,func,7,4584,
ditprobe,DitBit,F,func,7,0,
ditprobe,Const,X,fine,7,217,
ditprobe,Perm,X,fine,7,656,
ditprobe,CoreMHz,X,fine,7,4605,
ditprobe,DitBit,X,fine,7,0,
ditprobe,Const,N,narrow,7,217,
ditprobe,Perm,N,narrow,7,652,
ditprobe,CoreMHz,N,narrow,7,4584,
ditprobe,DitBit,N,narrow,7,0,
ditprobe,Const,A,baseline,8,217,
ditprobe,Perm,A,baseline,8,653,
ditprobe,CoreMHz,A,baseline,8,4591,
ditprobe,DitBit,A,baseline,8,0,
ditprobe,Const,C,baseline,8,652,
ditprobe,Perm,C,baseline,8,655,
ditprobe,CoreMHz,C,baseline,8,4384,
ditprobe,DitBit,C,baseline,8,1,
ditprobe,Const,P,hardened,8,218,
ditprobe,Perm,P,hardened,8,652,
ditprobe,CoreMHz,P,hardened,8,4589,
ditprobe,DitBit,P,hardened,8,0,
ditprobe,Const,F,func,8,217,
ditprobe,Perm,F,func,8,653,
ditprobe,CoreMHz,F,func,8,4590,
ditprobe,DitBit,F,func,8,0,
ditprobe,Const,X,fine,8,218,
ditprobe,Perm,X,fine,8,653,
ditprobe,CoreMHz,X,fine,8,4597,
ditprobe,DitBit,X,fine,8,0,
ditprobe,Const,N,narrow,8,218,
ditprobe,Perm,N,narrow,8,652,
ditprobe,CoreMHz,N,narrow,8,4581,
ditprobe,DitBit,N,narrow,8,0,
ditprobe,Const,Z,nopsw,8,217,
ditprobe,Perm,Z,nopsw,8,653,
ditprobe,CoreMHz,Z,nopsw,8,4593,
ditprobe,DitBit,Z,nopsw,8,0,
ditprobe,Const,C,baseline,9,653,
ditprobe,Perm,C,baseline,9,653,
ditprobe,CoreMHz,C,baseline,9,4604,
ditprobe,DitBit,C,baseline,9,1,
ditprobe,Const,P,hardened,9,217,
ditprobe,Perm,P,hardened,9,652,
ditprobe,CoreMHz,P,hardened,9,4584,
ditprobe,DitBit,P,hardened,9,0,
ditprobe,Const,F,func,9,218,
ditprobe,Perm,F,func,9,651,
ditprobe,CoreMHz,F,func,9,4576,
ditprobe,DitBit,F,func,9,0,
ditprobe,Const,X,fine,9,218,
ditprobe,Perm,X,fine,9,652,
ditprobe,CoreMHz,X,fine,9,4601,
ditprobe,DitBit,X,fine,9,0,
ditprobe,Const,N,narrow,9,217,
ditprobe,Perm,N,narrow,9,652,
ditprobe,CoreMHz,N,narrow,9,4602,
ditprobe,DitBit,N,narrow,9,0,
ditprobe,Const,Z,nopsw,9,217,
ditprobe,Perm,Z,nopsw,9,653,
ditprobe,CoreMHz,Z,nopsw,9,4588,
ditprobe,DitBit,Z,nopsw,9,0,
ditprobe,Const,A,baseline,9,218,
ditprobe,Perm,A,baseline,9,653,
ditprobe,CoreMHz,A,baseline,9,4590,
ditprobe,DitBit,A,baseline,9,0,
ditprobe,Const,P,hardened,10,217,
ditprobe,Perm,P,hardened,10,652,
ditprobe,CoreMHz,P,hardened,10,4592,
ditprobe,DitBit,P,hardened,10,0,
ditprobe,Const,F,func,10,218,
ditprobe,Perm,F,func,10,652,
ditprobe,CoreMHz,F,func,10,4596,
ditprobe,DitBit,F,func,10,0,
ditprobe,Const,X,fine,10,217,
ditprobe,Perm,X,fine,10,652,
ditprobe,CoreMHz,X,fine,10,4579,
ditprobe,DitBit,X,fine,10,0,
ditprobe,Const,N,narrow,10,217,
ditprobe,Perm,N,narrow,10,653,
ditprobe,CoreMHz,N,narrow,10,4567,
ditprobe,DitBit,N,narrow,10,0,
ditprobe,Const,Z,nopsw,10,217,
ditprobe,Perm,Z,nopsw,10,653,
ditprobe,CoreMHz,Z,nopsw,10,4593,
ditprobe,DitBit,Z,nopsw,10,0,
ditprobe,Const,A,baseline,10,218,
ditprobe,Perm,A,baseline,10,652,
ditprobe,CoreMHz,A,baseline,10,4587,
ditprobe,DitBit,A,baseline,10,0,
ditprobe,Const,C,baseline,10,653,
ditprobe,Perm,C,baseline,10,653,
ditprobe,CoreMHz,C,baseline,10,4604,
ditprobe,DitBit,C,baseline,10,1,
ditprobe,Const,F,func,11,218,
ditprobe,Perm,F,func,11,654,
ditprobe,CoreMHz,F,func,11,4601,
